Date,Return
2011-11-30,0.287
2011-12-31,-2.545
2012-01-31,10.832
2012-02-29,0.388
2012-03-31,-0.198
2012-04-30,-0.474
2012-05-31,-12.723
2012-06-30,-0.578
2012-07-31,3.027
2012-08-31,0.165
2012-09-30,6.808
2012-10-31,-4.74
2012-11-30,2.463
2012-12-31,-0.884
2013-01-31,4.618
2013-02-28,-5.138
2013-03-31,-3.255
2013-04-30,-8.447
2013-05-31,3.617
2013-06-30,-6.983
2013-07-31,1.38
2013-08-31,3.459
2013-09-30,1.788
2013-10-31,0.348
2013-11-30,-2.918
2013-12-31,4.772
2014-01-31,-6.443
2014-02-28,0.325
2014-03-31,-4.419
2014-04-30,-0.375
2014-05-31,3.16
2014-06-30,1.659
2014-07-31,2.514
2014-08-31,-1.447
2014-09-30,-6.235
2014-10-31,1.116
2014-11-30,-5.895
2014-12-31,15.131
2015-01-31,-12.525
2015-02-28,20.917
2015-03-31,3.83
2015-04-30,4.294
2015-05-31,-4.453
2015-06-30,-3.407
2015-07-31,-8.851
2015-08-31,-2.301
2015-09-30,-0.431
2015-10-31,-1.13
2015-11-30,-11.559
2015-12-31,4.374
2016-01-31,-3.605
2016-02-29,3.667
2016-03-31,3.25
2016-04-30,3.751
2016-05-31,-7.759
2016-06-30,4.304
2016-07-31,0.96
2016-08-31,-6.305
2016-09-30,5.767
2016-10-31,-0.236
2016-11-30,15.934
2016-12-31,-3.11
2017-01-31,8.624
2017-02-28,-0.788
2017-03-31,-1.487
2017-04-30,-2.255
2017-05-31,-0.63
2017-06-30,4.15
2017-07-31,6.712
2017-08-31,6.174
2017-09-30,-4.279
2017-10-31,5.051
2017-11-30,-1.075
2017-12-31,7.036
2018-01-31,-2.832
2018-02-28,-2.259
2018-03-31,-3.774
2018-04-30,1.69
2018-05-31,0.313
2018-06-30,-4.219
2018-07-31,-4.181
2018-08-31,-6.602
2018-09-30,5.238
2018-10-31,-5.14
2018-11-30,4.56
2018-12-31,-5.644
2019-01-31,5.686
2019-02-28,5.892
2019-03-31,-0.422
2019-04-30,-0.678
2019-05-31,-9.712
2019-06-30,3.032
2019-07-31,-1.464
2019-08-31,-4.195
2019-09-30,0.938
2019-10-31,2.574
2019-11-30,0.747
2019-12-31,5.306
2020-01-31,-10.423
2020-02-29,0.703
2020-03-31,-12.856
2020-04-30,7.829
2020-05-31,3.931
2020-06-30,9.872
2020-07-31,5.125
2020-08-31,5.739
2020-09-30,-1.071
2020-10-31,1.446
2020-11-30,12.108
2020-12-31,1.973
2021-01-31,1.061
2021-02-28,13.943
2021-03-31,-1.544
2021-04-30,11.056
2021-05-31,5.297
2021-06-30,-9.278
2021-07-31,4.526
2021-08-31,-2.295
2021-09-30,-6.053
2021-10-31,7.3
2021-11-30,-2.11
2021-12-31,3.871
2022-01-31,-2.463
2022-02-28,3.528
2022-03-31,5.016
2022-04-30,-8.029
2022-05-31,-1.591
2022-06-30,-15.155
2022-07-31,-1.822
2022-08-31,-2.489
2022-09-30,-2.938
2022-10-31,-0.113
2022-11-30,12.21
2022-12-31,1.288
2023-01-31,10.651
2023-02-28,-2.958
2023-03-31,0.606
2023-04-30,-4.358
2023-05-31,-5.048
2023-06-30,2.634
2023-07-31,6.931
2023-08-31,-5.165
2023-09-30,-2.145
2023-10-31,-1.302
2023-11-30,4.82
2023-12-31,1.565
2024-01-31,0.297
2024-02-29,-1.162
2024-03-31,5.147
2024-04-30,12.191
2024-05-31,0.802
2024-06-30,-4.096
2024-07-31,-3.499
2024-08-31,0.588
2024-09-30,7.752
2024-10-31,-3.412
2024-11-30,-5.525
2024-12-31,-0.611
