Date,Return
2004-11-30,1.665
2004-12-31,-2.871
2005-01-31,-3.61
2005-02-28,3.101
2005-03-31,-1.587
2005-04-30,1.269
2005-05-31,-3.971
2005-06-30,4.252
2005-07-31,-1.395
2005-08-31,1.408
2005-09-30,7.414
2005-10-31,-0.563
2005-11-30,5.753
2005-12-31,5.08
2006-01-31,9.691
2006-02-28,-0.886
2006-03-31,3.7
2006-04-30,11.771
2006-05-31,-0.937
2006-06-30,-4.237
2006-07-31,3.317
2006-08-31,-1.243
2006-09-30,-4.407
2006-10-31,1.443
2006-11-30,6.797
2006-12-31,-1.785
2007-01-31,2.667
2007-02-28,2.708
2007-03-31,-1.003
2007-04-30,2.111
2007-05-31,-2.255
2007-06-30,-1.884
2007-07-31,2.395
2007-08-31,1.194
2007-09-30,10.078
2007-10-31,6.863
2007-11-30,-1.328
2007-12-31,6.609
2008-01-31,10.483
2008-02-29,5.263
2008-03-31,-5.86
2008-04-30,-3.987
2008-05-31,1.177
2008-06-30,4.659
2008-07-31,-1.284
2008-08-31,-9.446
2008-09-30,5.273
2008-10-31,-16.598
2008-11-30,12.539
2008-12-31,7.923
2009-01-31,5.79
2009-02-28,1.702
2009-03-31,-2.288
2009-04-30,-3.194
2009-05-31,9.847
2009-06-30,-5.229
2009-07-31,2.451
2009-08-31,0.115
2009-09-30,5.771
2009-10-31,3.773
2009-11-30,12.149
2009-12-31,-7.195
2010-01-31,-1.135
2010-02-28,3.411
2010-03-31,-0.33
2010-04-30,5.796
2010-05-31,3.144
2010-06-30,2.444
2010-07-31,-5.059
2010-08-31,5.579
2010-09-30,4.704
2010-10-31,3.758
2010-11-30,2.26
2010-12-31,2.495
2011-01-31,-6.475
2011-02-28,5.863
2011-03-31,1.661
2011-04-30,8.64
2011-05-31,-1.703
2011-06-30,-2.412
2011-07-31,8.148
2011-08-31,12.07
2011-09-30,-11.248
2011-10-31,5.889
2011-11-30,1.843
2011-12-31,-11.042
2012-01-31,10.904
2012-02-29,-2.784
2012-03-31,-1.22
2012-04-30,-0.085
2012-05-31,-6.44
2012-06-30,2.508
2012-07-31,0.894
2012-08-31,4.884
2012-09-30,4.633
2012-10-31,-2.95
2012-11-30,-0.393
2012-12-31,-2.421
2013-01-31,-0.468
2013-02-28,-5.139
2013-03-31,0.962
2013-04-30,-7.216
2013-05-31,-6.182
2013-06-30,-11.334
2013-07-31,7.341
2013-08-31,5.192
2013-09-30,-4.642
2013-10-31,-0.166
2013-11-30,-5.595
2013-12-31,-3.702
2014-01-31,3.476
2014-02-28,6.132
2014-03-31,-3.086
2014-04-30,0.542
2014-05-31,-3.041
2014-06-30,6.208
2014-07-31,-3.623
2014-08-31,0.409
2014-09-30,-6.327
2014-10-31,-3.02
2014-11-30,-0.304
2014-12-31,1.531
2015-01-31,8.485
2015-02-28,-6.012
2015-03-31,-2.094
2015-04-30,-0.055
2015-05-31,0.607
2015-06-30,-1.49
2015-07-31,-6.781
2015-08-31,3.714
2015-09-30,-1.743
2015-10-31,2.335
2015-11-30,-6.929
2015-12-31,-0.331
2016-01-31,5.355
2016-02-29,10.615
2016-03-31,-0.701
2016-04-30,5.095
2016-05-31,-6.261
2016-06-30,8.809
2016-07-31,2.057
2016-08-31,-3.266
2016-09-30,0.731
2016-10-31,-2.908
2016-11-30,-8.616
2016-12-31,-1.883
2017-01-31,5.337
2017-02-28,3.164
2017-03-31,-0.381
2017-04-30,1.744
2017-05-31,-0.071
2017-06-30,-2.148
2017-07-31,2.324
2017-08-31,4.161
2017-09-30,-3.37
2017-10-31,-0.723
2017-11-30,0.393
2017-12-31,2.111
2018-01-31,3.222
2018-02-28,-2.046
2018-03-31,0.681
2018-04-30,-0.92
2018-05-31,-1.178
2018-06-30,-3.658
2018-07-31,-2.233
2018-08-31,-2.097
2018-09-30,-0.642
2018-10-31,2.154
2018-11-30,0.366
2018-12-31,4.861
2019-01-31,2.878
2019-02-28,-0.578
2019-03-31,-1.556
2019-04-30,-0.644
2019-05-31,1.774
2019-06-30,7.772
2019-07-31,0.131
2019-08-31,7.721
2019-09-30,-3.352
2019-10-31,2.574
2019-11-30,-3.222
2019-12-31,3.613
2020-01-31,4.442
2020-02-29,-0.511
2020-03-31,0.349
2020-04-30,7.194
2020-05-31,2.627
2020-06-30,2.786
2020-07-31,10.323
2020-08-31,0.018
2020-09-30,-4.181
2020-10-31,-0.453
2020-11-30,-5.379
2020-12-31,6.864
2021-01-31,-3.145
2021-02-28,-6.334
2021-03-31,-1.064
2021-04-30,3.553
2021-05-31,7.451
2021-06-30,-7.298
2021-07-31,2.527
2021-08-31,0.016
2021-09-30,-3.184
2021-10-31,1.519
2021-11-30,-0.621
2021-12-31,3.28
2022-01-31,-1.621
2022-02-28,5.995
2022-03-31,1.471
2022-04-30,-2.039
2022-05-31,-3.232
2022-06-30,-1.489
2022-07-31,-2.545
2022-08-31,-2.922
2022-09-30,-2.837
2022-10-31,-1.693
2022-11-30,8.303
2022-12-31,2.99
2023-01-31,5.67
2023-02-28,-5.438
2023-03-31,7.804
2023-04-30,0.924
2023-05-31,-1.274
2023-06-30,-2.194
2023-07-31,2.305
2023-08-31,-1.261
2023-09-30,-4.845
2023-10-31,7.222
2023-11-30,2.55
2023-12-31,1.374
2024-01-31,-1.398
2024-02-29,0.487
2024-03-31,8.386
2024-04-30,3.092
2024-05-31,1.715
2024-06-30,-0.001
2024-07-31,5.348
2024-08-31,2.16
2024-09-30,5.035
2024-10-31,4.274
2024-11-30,-2.99
2024-12-31,-1.965
