Date,Return
2001-07-31,-2.431
2001-08-31,-21.881
2001-09-30,-25.688
2001-10-31,22.795
2001-11-30,15.622
2001-12-31,6.276
2002-01-31,1.696
2002-02-28,-16.404
2002-03-31,6.885
2002-04-30,-21.474
2002-05-31,-7.295
2002-06-30,-8.712
2002-07-31,-13.836
2002-08-31,-0.203
2002-09-30,-10.742
2002-10-31,19.245
2002-11-30,17.081
2002-12-31,-13.93
2003-01-31,4.085
2003-02-28,-1.915
2003-03-31,-2.807
2003-04-30,11.881
2003-05-31,12.117
2003-06-30,0.687
2003-07-31,1.712
2003-08-31,8.606
2003-09-30,-1.662
2003-10-31,8.346
2003-11-30,-0.243
2003-12-31,4.071
2004-01-31,2.796
2004-02-29,-1.716
2004-03-31,-0.238
2004-04-30,-3.87
2004-05-31,2.023
2004-06-30,2.846
2004-07-31,-11.347
2004-08-31,-3.577
2004-09-30,6.28
2004-10-31,9.584
2004-11-30,6.347
2004-12-31,6.107
2005-01-31,-6.999
2005-02-28,-1.053
2005-03-31,-2.536
2005-04-30,-5.132
2005-05-31,9.175
2005-06-30,-3.006
2005-07-31,4.806
2005-08-31,-0.716
2005-09-30,2.791
2005-10-31,0.639
2005-11-30,-2.459
2005-12-31,-0.026
2006-01-31,3.777
2006-02-28,-2.622
2006-03-31,2.14
2006-04-30,1.294
2006-05-31,-10.678
2006-06-30,0.014
2006-07-31,-0.016
2006-08-31,6.617
2006-09-30,7.642
2006-10-31,2.187
2006-11-30,2.846
2006-12-31,-1.854
2007-01-31,0.887
2007-02-28,-1.521
2007-03-31,2.025
2007-04-30,3.167
2007-05-31,4.624
2007-06-30,-2.148
2007-07-31,-3.443
2007-08-31,3.176
2007-09-30,5.645
2007-10-31,7.644
2007-11-30,-7.498
2007-12-31,3.51
2008-01-31,-10.169
2008-02-29,-4.017
2008-03-31,0.73
2008-04-30,5.266
2008-05-31,9.422
2008-06-30,-8.922
2008-07-31,0.919
2008-08-31,3.787
2008-09-30,-10.431
2008-10-31,-23.18
2008-11-30,-7.621
2008-12-31,3.81
2009-01-31,-5.059
2009-02-28,-3.548
2009-03-31,14.595
2009-04-30,10.128
2009-05-31,2.923
2009-06-30,2.978
2009-07-31,5.834
2009-08-31,0.877
2009-09-30,6.035
2009-10-31,-1.136
2009-11-30,2.912
2009-12-31,5.989
2010-01-31,-6.593
2010-02-28,4.266
2010-03-31,6.155
2010-04-30,1.517
2010-05-31,-6.529
2010-06-30,-6.15
2010-07-31,9.582
2010-08-31,0.164
2010-09-30,9.525
2010-10-31,5.847
