Date,Return
2000-05-31,4.054
2000-06-30,8.711
2000-07-31,-2.578
2000-08-31,6.818
2000-09-30,-3.159
2000-10-31,-4.173
2000-11-30,-10.165
2000-12-31,8.257
2001-01-31,5.605
2001-02-28,-6.721
2001-03-31,-4.444
2001-04-30,8.383
2001-05-31,2.272
2001-06-30,3.203
2001-07-31,-5.534
2001-08-31,-2.311
2001-09-30,-15.354
2001-10-31,6.567
2001-11-30,7.511
2001-12-31,5.528
2002-01-31,-0.016
2002-02-28,-2.992
2002-03-31,7.372
2002-04-30,1.345
2002-05-31,-4.645
2002-06-30,-5.827
2002-07-31,-13.607
2002-08-31,-0.188
2002-09-30,-7.991
2002-10-31,4.606
2002-11-30,8.392
2002-12-31,-5.747
2003-01-31,-1.933
2003-02-28,-2.955
2003-03-31,0.387
2003-04-30,9.907
2003-05-31,10.458
2003-06-30,1.292
2003-07-31,6.487
2003-08-31,4.796
2003-09-30,-1.757
2003-10-31,8.535
2003-11-30,3.815
2003-12-31,1.958
2004-01-31,4.327
2004-02-29,1.091
2004-03-31,1.176
2004-04-30,-5.507
2004-05-31,2.294
2004-06-30,4.274
2004-07-31,-6.835
2004-08-31,-1.375
2004-09-30,5.295
2004-10-31,2.161
2004-11-30,8.866
2004-12-31,2.428
2005-01-31,-4.03
2005-02-28,1.725
2005-03-31,-2.818
2005-04-30,-5.631
2005-05-31,6.354
2005-06-30,4.061
2005-07-31,6.473
2005-08-31,-1.909
2005-09-30,0.168
2005-10-31,-3.792
2005-11-30,5.667
2005-12-31,-0.642
2006-01-31,8.178
2006-02-28,0.388
2006-03-31,4.897
2006-04-30,0.398
2006-05-31,-5.646
2006-06-30,0.284
2006-07-31,-2.665
2006-08-31,3.079
2006-09-30,0.742
2006-10-31,5.802
2006-11-30,2.485
2006-12-31,0.432
2007-01-31,1.749
2007-02-28,-0.514
2007-03-31,1.14
2007-04-30,1.669
2007-05-31,4.352
2007-06-30,-1.327
2007-07-31,-7.091
2007-08-31,2.44
2007-09-30,2.06
2007-10-31,3.01
2007-11-30,-6.716
2007-12-31,-0.389
2008-01-31,-6.438
2008-02-29,-2.747
2008-03-31,-0.174
2008-04-30,4.666
2008-05-31,4.581
2008-06-30,-7.621
2008-07-31,3.971
2008-08-31,3.722
2008-09-30,-6.929
2008-10-31,-20.371
2008-11-30,-10.437
2008-12-31,6.458
2009-01-31,-9.245
2009-02-28,-12.273
2009-03-31,9.127
2009-04-30,15.113
2009-05-31,3.862
2009-06-30,2.072
2009-07-31,9.07
2009-08-31,3.107
2009-09-30,5.581
2009-10-31,-6.416
2009-11-30,3.324
2009-12-31,7.745
2010-01-31,-3.653
2010-02-28,4.512
2010-03-31,8.013
2010-04-30,5.699
2010-05-31,-7.135
2010-06-30,-7.562
2010-07-31,6.904
2010-08-31,-7.447
2010-09-30,11.991
2010-10-31,4.172
2010-11-30,3.588
2010-12-31,7.788
2011-01-31,-0.237
2011-02-28,5.522
2011-03-31,2.668
2011-04-30,2.679
2011-05-31,-1.663
2011-06-30,-2.245
2011-07-31,-3.298
2011-08-31,-7.657
2011-09-30,-11.233
2011-10-31,14.978
2011-11-30,0.319
2011-12-31,0.794
2012-01-31,6.962
2012-02-29,2.655
2012-03-31,2.579
2012-04-30,-1.482
2012-05-31,-6.671
2012-06-30,5.199
2012-07-31,-1.426
2012-08-31,3.55
2012-09-30,3.276
2012-10-31,-2.14
2012-11-30,0.677
2012-12-31,3.616
2013-01-31,6.121
2013-02-28,1.085
2013-03-31,4.585
2013-04-30,-0.169
2013-05-31,3.968
2013-06-30,-0.683
2013-07-31,7.133
2013-08-31,-3.104
2013-09-30,6.328
2013-10-31,2.504
2013-11-30,3.951
2013-12-31,2.07
2014-01-31,-2.698
2014-02-28,4.77
2014-03-31,-0.648
2014-04-30,-3.666
2014-05-31,0.897
2014-06-30,5.193
2014-07-31,-6.141
2014-08-31,4.759
2014-09-30,-6.024
2014-10-31,6.603
2014-11-30,0.156
2014-12-31,3.005
2015-01-31,-3.175
2015-02-28,5.822
2015-03-31,1.842
2015-04-30,-2.531
2015-05-31,2.254
2015-06-30,0.855
2015-07-31,-1.041
2015-08-31,-6.305
2015-09-30,-4.87
2015-10-31,5.652
2015-11-30,3.296
2015-12-31,-5.012
2016-01-31,-8.654
2016-02-29,-0.056
2016-03-31,7.893
2016-04-30,1.743
2016-05-31,2.323
2016-06-30,0.226
2016-07-31,5.776
2016-08-31,1.817
2016-09-30,1.212
2016-10-31,-4.65
2016-11-30,10.658
2016-12-31,2.919
2017-01-31,0.361
2017-02-28,1.966
2017-03-31,0.122
2017-04-30,1.215
2017-05-31,-1.928
2017-06-30,3.385
2017-07-31,0.886
2017-08-31,-1.19
2017-09-30,6.153
2017-10-31,0.754
2017-11-30,2.944
2017-12-31,-0.353
2018-01-31,2.582
2018-02-28,-3.705
2018-03-31,1.357
2018-04-30,1.091
2018-05-31,6.028
2018-06-30,0.664
2018-07-31,1.695
2018-08-31,4.256
2018-09-30,-2.329
2018-10-31,-11.35
2018-11-30,1.9
2018-12-31,-12.373
2019-01-31,10.898
2019-02-28,5.094
2019-03-31,-1.971
2019-04-30,3.399
2019-05-31,-8.003
2019-06-30,6.849
2019-07-31,0.742
2019-08-31,-4.783
2019-09-30,2.118
2019-10-31,2.764
2019-11-30,4.036
2019-12-31,2.775
2020-01-31,-3.092
2020-02-29,-9.012
2020-03-31,-20.175
2020-04-30,14.33
2020-05-31,7.053
2020-06-30,4.133
2020-07-31,3.089
2020-08-31,5.414
2020-09-30,-3.021
2020-10-31,2.396
2020-11-30,17.064
2020-12-31,8.417
2021-01-31,4.95
2021-02-28,6.266
2021-03-31,1.87
2021-04-30,1.899
2021-05-31,0.459
2021-06-30,1.96
2021-07-31,-3.496
2021-08-31,2.32
2021-09-30,-2.79
2021-10-31,4.26
2021-11-30,-4.243
2021-12-31,2.523
2022-01-31,-9.701
2022-02-28,1.269
2022-03-31,1.493
2022-04-30,-10.155
2022-05-31,0.728
2022-06-30,-8.281
2022-07-31,10.259
2022-08-31,-1.785
2022-09-30,-9.832
2022-10-31,10.978
2022-11-30,2.577
2022-12-31,-6.544
2023-01-31,9.522
2023-02-28,-1.6
2023-03-31,-4.668
2023-04-30,-1.706
2023-05-31,-0.683
2023-06-30,7.947
2023-07-31,6.032
2023-08-31,-5.143
2023-09-30,-5.94
2023-10-31,-7.001
2023-11-30,9.095
2023-12-31,11.685
2024-01-31,-3.822
2024-02-29,5.725
2024-03-31,3.527
2024-04-30,-6.939
2024-05-31,5.014
2024-06-30,-1.058
2024-07-31,10.091
2024-08-31,-1.351
2024-09-30,0.858
2024-10-31,-1.318
2024-11-30,10.784
2024-12-31,-8.71
