Date,Return
1999-03-31,3.122
1999-04-30,2.979
1999-05-31,-2.772
1999-06-30,10.727
1999-07-31,-1.545
1999-08-31,5.664
1999-09-30,1.191
1999-10-31,9.211
1999-11-30,11.476
1999-12-31,22.192
2000-01-31,0.307
2000-02-29,18.097
2000-03-31,3.502
2000-04-30,-12.047
2000-05-31,-10.889
2000-06-30,12.647
2000-07-31,-3.687
2000-08-31,13.119
2000-09-30,-12.621
2000-10-31,-6.548
2000-11-30,-24.578
2000-12-31,-5.458
2001-01-31,12.182
2001-02-28,-29.382
2001-03-31,-17.298
2001-04-30,19.059
2001-05-31,-2.047
2001-06-30,2.679
2001-07-31,-8.283
2001-08-31,-12.289
2001-09-30,-22.561
2001-10-31,16.994
2001-11-30,16.28
2001-12-31,-1.26
2002-01-31,-0.598
2002-02-28,-12.611
2002-03-31,7.022
2002-04-30,-12.263
2002-05-31,-4.255
2002-06-30,-13.445
2002-07-31,-7.538
2002-08-31,-0.559
2002-09-30,-12.09
2002-10-31,17.935
2002-11-30,12.754
2002-12-31,-12.479
2003-01-31,0.756
2003-02-28,3.1
2003-03-31,0.823
2003-04-30,8.576
2003-05-31,8.438
2003-06-30,0.745
2003-07-31,6.268
2003-08-31,5.049
2003-09-30,-2.663
2003-10-31,8.376
2003-11-30,0.729
2003-12-31,3.182
2004-01-31,1.771
2004-02-29,-1.283
2004-03-31,-1.826
2004-04-30,-2.815
2004-05-31,5.065
2004-06-30,3.313
2004-07-31,-7.672
2004-08-31,-2.368
2004-09-30,3.336
2004-10-31,5.042
2004-11-30,5.9
2004-12-31,3.045
2005-01-31,-6.408
2005-02-28,-0.4
2005-03-31,-1.687
2005-04-30,-4.308
2005-05-31,8.538
2005-06-30,-3.328
2005-07-31,7.392
2005-08-31,-1.473
2005-09-30,1.269
2005-10-31,-1.393
2005-11-30,5.964
2005-12-31,-1.739
2006-01-31,3.983
2006-02-28,-2.075
2006-03-31,2.139
2006-04-30,-0.134
2006-05-31,-7.402
2006-06-30,0.151
2006-07-31,-4.256
2006-08-31,4.768
2006-09-30,4.622
2006-10-31,4.728
2006-11-30,3.441
2006-12-31,-1.847
2007-01-31,2.175
2007-02-28,-1.569
2007-03-31,0.624
2007-04-30,5.48
2007-05-31,3.168
2007-06-30,0.546
2007-07-31,-0.049
2007-08-31,3.015
2007-09-30,5.214
2007-10-31,6.973
2007-11-30,-6.602
2007-12-31,0.087
2008-01-31,-12.305
2008-02-29,-4.772
2008-03-31,2.248
2008-04-30,7.949
2008-05-31,5.919
2008-06-30,-9.815
2008-07-31,0.897
2008-08-31,1.636
2008-09-30,-16.01
2008-10-31,-14.081
2008-11-30,-10.781
2008-12-31,3.108
2009-01-31,-1.721
2009-02-28,-4.996
2009-03-31,10.616
2009-04-30,12.592
2009-05-31,3.394
2009-06-30,3.078
2009-07-31,8.291
2009-08-31,1.589
2009-09-30,5.587
2009-10-31,-2.927
2009-11-30,6.264
2009-12-31,5.138
2010-01-31,-6.526
2010-02-28,4.605
2010-03-31,7.472
2010-04-30,2.305
2010-05-31,-7.186
2010-06-30,-5.856
2010-07-31,7.176
2010-08-31,-5.124
2010-09-30,12.502
2010-10-31,6.228
2010-11-30,-0.067
2010-12-31,4.686
2011-01-31,2.87
2011-02-28,3.197
2011-03-31,-0.299
2011-04-30,2.879
2011-05-31,-1.155
2011-06-30,-1.885
2011-07-31,1.781
2011-08-31,-4.236
2011-09-30,-4.323
2011-10-31,10.222
2011-11-30,-2.35
2011-12-31,-0.477
2012-01-31,8.135
2012-02-29,6.26
2012-03-31,4.99
2012-04-30,-1.044
2012-05-31,-7.169
2012-06-30,3.785
2012-07-31,1.102
2012-08-31,5.104
2012-09-30,0.959
2012-10-31,-5.343
2012-11-30,1.417
2012-12-31,-0.383
2013-01-31,2.709
2013-02-28,0.423
2013-03-31,3.012
2013-04-30,2.627
2013-05-31,3.554
2013-06-30,-2.325
2013-07-31,6.167
2013-08-31,-0.334
2013-09-30,4.75
2013-10-31,4.932
2013-11-30,3.543
2013-12-31,2.921
2014-01-31,-1.843
2014-02-28,5.097
2014-03-31,-2.708
2014-04-30,-0.142
2014-05-31,4.441
2014-06-30,3.092
2014-07-31,1.247
2014-08-31,4.913
2014-09-30,-0.698
2014-10-31,2.807
2014-11-30,4.462
2014-12-31,-2.161
2015-01-31,-1.968
2015-02-28,7.016
2015-03-31,-2.296
2015-04-30,1.968
2015-05-31,2.294
2015-06-30,-2.442
2015-07-31,4.547
2015-08-31,-6.653
2015-09-30,-1.978
2015-10-31,10.885
2015-11-30,0.676
2015-12-31,-1.439
2016-01-31,-6.82
2016-02-29,-1.369
2016-03-31,6.724
2016-04-30,-3.163
2016-05-31,4.353
2016-06-30,-2.118
2016-07-31,6.945
2016-08-31,1.062
2016-09-30,2.284
2016-10-31,-1.436
2016-11-30,0.526
2016-12-31,1.177
2017-01-31,5.037
2017-02-28,4.294
2017-03-31,2.035
2017-04-30,2.713
2017-05-31,3.877
2017-06-30,-2.231
2017-07-31,4.023
2017-08-31,2.139
2017-09-30,-0.262
2017-10-31,4.558
2017-11-30,1.997
2017-12-31,0.63
2018-01-31,8.461
2018-02-28,-0.956
2018-03-31,-3.873
2018-04-30,0.726
2018-05-31,5.578
2018-06-30,1.215
2018-07-31,2.855
2018-08-31,5.664
2018-09-30,-0.232
2018-10-31,-8.473
2018-11-30,0.045
2018-12-31,-8.529
2019-01-31,8.903
2019-02-28,2.986
2019-03-31,3.936
2019-04-30,5.384
2019-05-31,-8.408
2019-06-30,7.449
2019-07-31,2.366
2019-08-31,-1.619
2019-09-30,0.988
2019-10-31,4.387
2019-11-30,4.012
2019-12-31,3.848
2020-01-31,3.084
2020-02-29,-5.921
2020-03-31,-4.223
2020-04-30,14.684
2020-05-31,6.564
2020-06-30,6.378
2020-07-31,7.304
2020-08-31,10.52
2020-09-30,-5.432
2020-10-31,-2.765
2020-11-30,10.879
2020-12-31,4.845
2021-01-31,0.447
2021-02-28,0.029
2021-03-31,2.087
2021-04-30,5.841
2021-05-31,-1.05
2021-06-30,6.135
2021-07-31,2.869
2021-08-31,4.18
2021-09-30,-5.761
2021-10-31,7.663
2021-11-30,2.082
2021-12-31,1.377
2022-01-31,-8.823
2022-02-28,-4.184
2022-03-31,5.028
2022-04-30,-14.118
2022-05-31,-0.89
2022-06-30,-8.758
2022-07-31,12.128
2022-08-31,-4.982
2022-09-30,-10.772
2022-10-31,4.37
2022-11-30,5.966
2022-12-31,-9.222
2023-01-31,10.322
2023-02-28,-0.124
2023-03-31,9.262
2023-04-30,0.602
2023-05-31,7.727
2023-06-30,6.231
2023-07-31,3.869
2023-08-31,-1.349
2023-09-30,-5.131
2023-10-31,-1.937
2023-11-30,10.378
2023-12-31,5.494
2024-01-31,1.91
2024-02-29,5.255
2024-03-31,1.355
2024-04-30,-4.326
2024-05-31,6.039
2024-06-30,6.332
2024-07-31,-1.454
2024-08-31,1.368
2024-09-30,2.753
2024-10-31,-0.76
2024-11-30,5.318
2024-12-31,1.463
