Date,Close,High,Low,Open,Volume,Daily_Return,Monthly Return,Yearly Return
2003-05-01,18.294944763183597,18.36132091545632,18.059933273040315,18.119134734818697,157200,,0.0,0.0
2003-05-02,18.635799407958984,18.635799407958984,18.275211658335596,18.275211658335596,61200,0.019,0.019,0.019
2003-05-05,18.675264358520508,18.75599398938596,18.61068120130542,18.67167701364998,140000,0.002,0.021,0.021
2003-05-06,18.82416534423828,18.91027668065712,18.69320466709351,18.69320466709351,30000,0.008,0.029,0.029
2003-05-07,18.7506103515625,18.88515836357303,18.65732433212685,18.71114408440833,20800,-0.004,0.025,0.025
2003-05-08,18.547895431518555,18.67168006452221,18.540719371911763,18.57839265832735,92800,-0.011,0.014,0.014
2003-05-09,18.809812545776367,18.8528675280805,18.610681370666587,18.69320399037168,28800,0.014,0.028,0.028
2003-05-12,19.15964698791504,19.173997742794192,18.80982116146603,18.83673105099193,36800,0.019,0.047,0.047
2003-05-13,19.114791870117188,19.20449056238673,19.055590404732865,19.10582145341286,16800,-0.002,0.045,0.045
2003-05-14,19.15964698791504,19.15964698791504,19.0699482686246,19.14529486434205,35600,0.002,0.047,0.047
2003-05-15,19.358776092529297,19.358776092529297,19.20090548824276,19.30316196206759,41600,0.01,0.058,0.058
2003-05-16,19.39285469055176,19.39285469055176,19.19013616284056,19.3157137696186,44800,0.002,0.06,0.06
2003-05-19,18.88874244689941,19.31212019707362,18.88874244689941,19.31212019707362,38800,-0.026,0.032,0.032
2003-05-20,18.865428924560547,19.012534719750256,18.716528772356963,18.989212184650075,224400,-0.001,0.031,0.031
2003-05-21,18.94078254699707,18.94078254699707,18.73806255844616,18.818792229807688,617600,0.004,0.035,0.035
2003-05-22,19.209867477416992,19.23857034006929,18.98920814720189,18.98920814720189,17200,0.014,0.05,0.05
2003-05-23,19.31751251220703,19.324688572608306,19.15605457491229,19.17758275611611,124800,0.006,0.056,0.056
2003-05-27,19.733701705932617,19.735496062048927,19.2672690302582,19.2672690302582,28800,0.022,0.079,0.079
2003-05-28,19.785737991333008,19.861084565443168,19.694244940660127,19.78394363422749,136000,0.003,0.081,0.081
2003-05-29,19.715784072875977,19.965146470030128,19.67631640678927,19.828803996829016,92000,-0.004,0.078,0.078
2003-05-30,20.101482391357425,20.101482391357425,19.85570742182164,19.859294768162897,19600,0.02,0.099,0.099
2003-06-02,20.212709426879883,20.44054494429648,20.212709426879883,20.289850381554924,49200,0.006,0.0,0.105
2003-06-03,20.205530166625977,20.26293728413246,20.115831459978743,20.173238577485225,129200,-0.0,-0.0,0.104
2003-06-04,20.62890243530273,20.636078494082334,20.209113261895677,20.209113261895677,144400,0.021,0.021,0.128
2003-06-05,20.77421760559082,20.77421760559082,20.50332717263515,20.50332717263515,31200,0.007,0.028,0.136
2003-06-06,20.666576385498047,21.20118114796847,20.666576385498047,20.98052178161529,57200,-0.005,0.022,0.13
2003-06-09,20.33110809326172,20.55176613338181,20.29881650584249,20.52306326050559,104000,-0.016,0.006,0.111
2003-06-10,20.478214263916016,20.505124148679933,20.3562239725207,20.48718331304159,70400,0.007,0.013,0.119
2003-06-11,20.82983016967773,20.82983016967773,20.451301583505103,20.451301583505103,88800,0.017,0.031,0.139
2003-06-12,20.915943145751957,20.96258685507509,20.776013386476137,20.96258685507509,54400,0.004,0.035,0.143
2003-06-13,20.59481811523437,20.90876350498677,20.53382229921912,20.90876350498677,155600,-0.015,0.019,0.126
2003-06-16,21.011024475097656,21.011024475097656,20.68093253961029,20.720400187529886,63200,0.02,0.039,0.148
2003-06-17,21.048696517944336,21.070223329210837,20.91773581840134,21.070223329210837,34800,0.002,0.041,0.151
2003-06-18,20.950027465820312,21.07022339139128,20.87288653160289,20.953616180170982,29200,-0.005,0.036,0.145
2003-06-19,20.677339553833008,21.05227936941408,20.67016349537827,21.00743003059185,62400,-0.013,0.023,0.13
2003-06-20,20.65760612487793,20.899792285347168,20.650430066287843,20.774214681753705,78000,-0.001,0.022,0.129
2003-06-23,20.366992950439453,20.406460609730622,20.27191251779833,20.406460609730622,32000,-0.014,0.008,0.113
