Date,Return
2003-05-31,9.567
2003-06-30,0.979
2003-07-31,2.453
2003-08-31,4.28
2003-09-30,-1.399
2003-10-31,6.767
2003-11-30,2.152
2003-12-31,5.112
2004-01-31,2.386
2004-02-29,1.931
2004-03-31,-0.561
2004-04-30,-2.305
2004-05-31,1.81
2004-06-30,3.048
2004-07-31,-4.626
2004-08-31,-0.008
2004-09-30,2.576
2004-10-31,2.412
2004-11-30,5.684
2004-12-31,3.679
2005-01-31,-3.071
2005-02-28,2.156
2005-03-31,-1.326
2005-04-30,-3.136
2005-05-31,4.449
2005-06-30,1.555
2005-07-31,5.019
2005-08-31,-0.824
2005-09-30,0.539
2005-10-31,-2.602
2005-11-30,4.483
2005-12-31,0.563
2006-01-31,3.998
2006-02-28,0.37
2006-03-31,2.11
2006-04-30,0.893
2006-05-31,-2.932
2006-06-30,-0.152
2006-07-31,-1.254
2006-08-31,2.742
2006-09-30,2.402
2006-10-31,3.716
2006-11-30,2.502
2006-12-31,0.585
2007-01-31,2.405
2007-02-28,-0.376
2007-03-31,0.9
2007-04-30,4.343
2007-05-31,3.215
2007-06-30,-1.794
2007-07-31,-4.486
2007-08-31,0.323
2007-09-30,2.575
2007-10-31,1.208
2007-11-30,-4.508
2007-12-31,-1.592
2008-01-31,-4.081
2008-02-29,-2.864
2008-03-31,-1.517
2008-04-30,5.76
2008-05-31,2.72
2008-06-30,-10.16
2008-07-31,-0.172
2008-08-31,3.148
2008-09-30,-10.583
2008-10-31,-20.272
2008-11-30,-8.167
2008-12-31,4.191
2009-01-31,-7.819
2009-02-28,-11.294
2009-03-31,11.113
2009-04-30,17.93
2009-05-31,6.897
2009-06-30,-0.896
2009-07-31,9.035
2009-08-31,5.67
2009-09-30,5.307
2009-10-31,-3.5
2009-11-30,5.527
2009-12-31,4.575
2010-01-31,-3.256
2010-02-28,4.245
2010-03-31,7.028
2010-04-30,2.742
2010-05-31,-7.153
2010-06-30,-6.135
2010-07-31,7.314
2010-08-31,-4.708
2010-09-30,9.842
2010-10-31,3.555
2010-11-30,0.913
2010-12-31,7.014
2011-01-31,2.147
2011-02-28,4.005
2011-03-31,0.952
2011-04-30,3.121
2011-05-31,-0.566
2011-06-30,-1.684
2011-07-31,-3.563
2011-08-31,-5.393
2011-09-30,-9.037
2011-10-31,12.787
2011-11-30,-0.437
2011-12-31,0.336
2012-01-31,5.574
2012-02-29,3.971
2012-03-31,2.367
2012-04-30,-0.664
2012-05-31,-7.146
2012-06-30,4.001
2012-07-31,0.22
2012-08-31,3.067
2012-09-30,2.544
2012-10-31,-0.781
2012-11-30,1.357
2012-12-31,2.294
2013-01-31,6.353
2013-02-28,1.036
2013-03-31,4.3
2013-04-30,1.78
2013-05-31,2.718
2013-06-30,-1.109
2013-07-31,5.514
2013-08-31,-2.899
2013-09-30,4.066
2013-10-31,4.27
2013-11-30,2.233
2013-12-31,2.881
2014-01-31,-2.931
2014-02-28,5.267
2014-03-31,0.649
2014-04-30,0.457
2014-05-31,2.164
2014-06-30,2.836
2014-07-31,-2.317
2014-08-31,4.148
2014-09-30,-2.584
2014-10-31,3.132
2014-11-30,2.641
2014-12-31,0.375
2015-01-31,-2.853
2015-02-28,5.619
2015-03-31,-0.876
2015-04-30,0.433
