Date,Return
2006-04-30,0.0
2006-05-31,-7.907
2006-06-30,-10.909
2006-07-31,3.008
2006-08-31,12.793
2006-09-30,-11.144
2006-10-31,7.301
2006-11-30,13.273
2006-12-31,-7.826
2007-01-31,5.252
2007-02-28,4.661
2007-03-31,-5.247
2007-04-30,0.071
2007-05-31,0.518
2007-06-30,-7.751
2007-07-31,3.733
2007-08-31,-6.13
2007-09-30,13.086
2007-10-31,5.26
2007-11-30,-2.499
2007-12-31,5.779
2008-01-31,13.791
2008-02-29,15.975
2008-03-31,-13.056
2008-04-30,-1.429
2008-05-31,0.261
2008-06-30,3.837
2008-07-31,1.871
2008-08-31,-25.824
2008-09-30,-9.543
2008-10-31,-16.751
2008-11-30,7.89
2008-12-31,10.521
2009-01-31,11.848
2009-02-28,3.331
2009-03-31,-0.29
2009-04-30,-4.095
2009-05-31,24.047
2009-06-30,-13.909
2009-07-31,2.674
2009-08-31,6.871
2009-09-30,11.797
2009-10-31,-1.416
2009-11-30,12.561
2009-12-31,-8.95
2010-01-31,-3.519
2010-02-28,1.546
2010-03-31,6.667
2010-04-30,6.527
2010-05-31,-0.744
2010-06-30,1.308
2010-07-31,-3.274
2010-08-31,7.58
2010-09-30,11.949
2010-10-31,13.134
2010-11-30,13.528
2010-12-31,9.905
2011-01-31,-9.284
2011-02-28,19.434
2011-03-31,10.861
2011-04-30,24.89
2011-05-31,-19.492
2011-06-30,-10.002
2011-07-31,14.431
2011-08-31,5.18
2011-09-30,-31.189
2011-10-31,15.29
2011-11-30,-3.626
2011-12-31,-16.493
2012-01-31,18.682
2012-02-29,4.34
2012-03-31,-6.329
2012-04-30,-3.879
2012-05-31,-10.817
2012-06-30,-0.803
2012-07-31,1.896
2012-08-31,12.977
2012-09-30,8.631
2012-10-31,-6.683
2012-11-30,3.685
2012-12-31,-9.509
2013-01-31,3.755
2013-02-28,-9.861
2013-03-31,-0.386
2013-04-30,-14.262
2013-05-31,-8.65
2013-06-30,-11.325
2013-07-31,1.375
2013-08-31,17.076
2013-09-30,-7.059
2013-10-31,1.234
2013-11-30,-9.089
2013-12-31,-2.4
2014-01-31,-1.187
2014-02-28,10.067
2014-03-31,-6.497
2014-04-30,-3.035
2014-05-31,-1.986
2014-06-30,11.472
2014-07-31,-3.245
2014-08-31,-4.503
2014-09-30,-13.345
2014-10-31,-5.149
2014-11-30,-3.923
2014-12-31,2.161
2015-01-31,9.849
2015-02-28,-3.904
2015-03-31,0.573
2015-04-30,-2.934
2015-05-31,3.755
2015-06-30,-6.11
2015-07-31,-6.378
2015-08-31,-0.344
2015-09-30,-0.658
2015-10-31,6.738
2015-11-30,-9.582
2015-12-31,-1.602
2016-01-31,3.148
2016-02-29,4.625
2016-03-31,3.559
2016-04-30,14.835
2016-05-31,-10.948
2016-06-30,16.483
2016-07-31,8.382
2016-08-31,-8.622
2016-09-30,2.937
2016-10-31,-6.771
2016-11-30,-7.692
2016-12-31,-3.365
2017-01-31,9.716
2017-02-28,4.402
2017-03-31,-0.504
2017-04-30,-5.596
2017-05-31,0.679
2017-06-30,-4.167
2017-07-31,1.333
2017-08-31,4.8
2017-09-30,-5.517
2017-10-31,0.376
2017-11-30,-1.642
2017-12-31,3.132
2018-01-31,2.337
2018-02-28,-5.459
2018-03-31,-0.221
2018-04-30,-0.067
2018-05-31,0.579
2018-06-30,-1.911
2018-07-31,-3.543
2018-08-31,-6.601
2018-09-30,0.672
2018-10-31,-2.281
2018-11-30,-0.55
2018-12-31,8.705
2019-01-31,3.661
2019-02-28,-2.762
2019-03-31,-2.994
2019-04-30,-1.096
2019-05-31,-2.601
2019-06-30,4.941
2019-07-31,6.113
2019-08-31,12.217
2019-09-30,-6.777
2019-10-31,6.201
2019-11-30,-5.975
2019-12-31,4.779
2020-01-31,0.986
2020-02-29,-7.631
2020-03-31,-15.337
2020-04-30,7.23
2020-05-31,17.849
2020-06-30,2.424
2020-07-31,29.824
2020-08-31,17.077
2020-09-30,-18.344
2020-10-31,2.111
2020-11-30,-3.891
2020-12-31,15.954
2021-01-31,2.348
2021-02-28,-0.47
2021-03-31,-7.987
2021-04-30,5.777
2021-05-31,7.838
2021-06-30,-6.477
2021-07-31,-2.308
2021-08-31,-6.26
2021-09-30,-7.249
2021-10-31,7.524
2021-11-30,-4.61
2021-12-31,2.246
2022-01-31,-3.1
2022-02-28,8.527
2022-03-31,1.467
2022-04-30,-8.207
2022-05-31,-5.517
2022-06-30,-5.954
2022-07-31,0.676
2022-08-31,-11.708
2022-09-30,5.848
2022-10-31,1.371
2022-11-30,15.432
2022-12-31,7.962
2023-01-31,-0.679
2023-02-28,-12.494
2023-03-31,14.525
2023-04-30,4.046
2023-05-31,-5.955
2023-06-30,-3.134
2023-07-31,8.566
2023-08-31,-1.105
2023-09-30,-9.46
2023-10-31,3.41
2023-11-30,9.969
2023-12-31,-5.715
2024-01-31,-3.923
2024-02-29,-0.67
2024-03-31,9.544
2024-04-30,6.062
2024-05-31,15.061
2024-06-30,-3.765
2024-07-31,-0.327
2024-08-31,0.233
2024-09-30,8.032
2024-10-31,5.295
2024-11-30,-6.221
2024-12-31,-5.271
