Date,Return
2001-07-31,2.675
2001-08-31,-6.352
2001-09-30,-34.165
2001-10-31,21.699
2001-11-30,16.175
2001-12-31,-0.95
2002-01-31,4.991
2002-02-28,-10.92
2002-03-31,15.365
2002-04-30,-9.318
2002-05-31,-5.989
2002-06-30,-20.872
2002-07-31,-12.493
2002-08-31,-6.696
2002-09-30,-23.954
2002-10-31,24.837
2002-11-30,23.454
2002-12-31,-25.409
2003-01-31,-3.868
2003-02-28,8.773
2003-03-31,-1.623
2003-04-30,12.861
2003-05-31,14.747
2003-06-30,-3.698
2003-07-31,10.889
2003-08-31,15.566
2003-09-30,-6.419
2003-10-31,17.759
2003-11-30,5.493
2003-12-31,-4.066
2004-01-31,3.853
2004-02-29,-0.604
2004-03-31,-3.953
2004-04-30,-10.466
2004-05-31,10.017
2004-06-30,-2.562
2004-07-31,-14.979
2004-08-31,-9.805
2004-09-30,5.444
2004-10-31,6.198
2004-11-30,3.344
2004-12-31,2.661
2005-01-31,-7.382
2005-02-28,7.839
2005-03-31,-5.135
2005-04-30,-5.695
2005-05-31,10.911
2005-06-30,-1.36
2005-07-31,11.113
2005-08-31,0.354
2005-09-30,0.671
2005-10-31,-5.828
2005-11-30,10.445
2005-12-31,-1.289
2006-01-31,8.861
2006-02-28,-2.125
2006-03-31,0.621
2006-04-30,2.487
2006-05-31,-9.73
2006-06-30,-3.712
2006-07-31,-3.983
2006-08-31,8.906
2006-09-30,2.004
2006-10-31,-0.788
2006-11-30,3.414
2006-12-31,-2.921
2007-01-31,-0.166
2007-02-28,1.888
2007-03-31,-2.341
2007-04-30,6.017
2007-05-31,0.949
2007-06-30,2.369
2007-07-31,0.218
2007-08-31,1.626
2007-09-30,1.322
2007-10-31,-4.012
2007-11-30,-8.555
2007-12-31,0.751
2008-01-31,-14.289
2008-02-29,-1.433
2008-03-31,-0.791
2008-04-30,7.91
2008-05-31,8.36
2008-06-30,-11.65
2008-07-31,-8.094
2008-08-31,4.495
2008-09-30,-17.932
2008-10-31,-17.071
2008-11-30,-18.83
2008-12-31,7.092
2009-01-31,-1.34
2009-02-28,-0.695
2009-03-31,15.02
2009-04-30,12.387
2009-05-31,4.561
2009-06-30,1.509
2009-07-31,14.707
2009-08-31,2.816
2009-09-30,3.287
2009-10-31,-9.312
2009-11-30,6.799
2009-12-31,13.35
2010-01-31,-13.184
2010-02-28,7.973
2010-03-31,6.486
2010-04-30,2.353
2010-05-31,-6.118
2010-06-30,-6.447
2010-07-31,5.465
2010-08-31,-10.766
2010-09-30,14.22
2010-10-31,6.842
2010-11-30,4.931
2010-12-31,4.965
2011-01-31,6.789
2011-02-28,4.494
2011-03-31,-4.507
2011-04-30,3.018
2011-05-31,-1.936
2011-06-30,-6.577
2011-07-31,-5.322
2011-08-31,-7.081
2011-09-30,-4.399
2011-10-31,13.773
2011-11-30,-2.988
2011-12-31,-1.702
2012-01-31,11.89
2012-02-29,3.979
2012-03-31,3.34
2012-04-30,-5.559
2012-05-31,-10.877
2012-06-30,4.811
2012-07-31,0.026
2012-08-31,3.426
2012-09-30,-3.302
2012-10-31,-3.767
2012-11-30,2.266
2012-12-31,2.592
2013-01-31,7.537
2013-02-28,3.74
2013-03-31,2.382
2013-04-30,2.005
2013-05-31,5.626
2013-06-30,0.175
2013-07-31,2.361
2013-08-31,-3.886
2013-09-30,7.108
2013-10-31,3.418
2013-11-30,0.931
2013-12-31,4.925
2014-01-31,-0.976
2014-02-28,6.581
2014-03-31,4.131
2014-04-30,-1.649
2014-05-31,4.391
2014-06-30,5.946
