Date,Return
1993-01-31,0.0
1993-02-28,1.119
1993-03-31,2.272
1993-04-30,-2.536
1993-05-31,2.71
1993-06-30,0.397
1993-07-31,-0.461
1993-08-31,3.775
1993-09-30,-0.704
1993-10-31,1.973
1993-11-30,-1.045
1993-12-31,1.236
1994-01-31,3.45
1994-02-28,-2.903
1994-03-31,-4.225
1994-04-30,1.174
1994-05-31,1.617
1994-06-30,-2.254
1994-07-31,3.198
1994-08-31,3.771
1994-09-30,-2.514
1994-10-31,2.868
1994-11-30,-3.998
1994-12-31,0.765
1995-01-31,3.323
1995-02-28,4.025
1995-03-31,2.78
1995-04-30,2.937
1995-05-31,3.955
1995-06-30,2.042
1995-07-31,3.209
1995-08-31,0.456
1995-09-30,4.173
1995-10-31,-0.266
1995-11-30,4.384
1995-12-31,1.611
1996-01-31,3.562
1996-02-29,0.387
1996-03-31,1.824
1996-04-30,1.138
1996-05-31,2.308
1996-06-30,0.903
1996-07-31,-4.443
1996-08-31,1.976
1996-09-30,5.481
1996-10-31,3.227
1996-11-30,7.09
1996-12-31,-2.299
1997-01-31,6.079
1997-02-28,1.047
1997-03-31,-4.382
1997-04-30,6.279
1997-05-31,6.245
1997-06-30,4.148
1997-07-31,7.754
1997-08-31,-5.142
1997-09-30,4.843
1997-10-31,-1.897
1997-11-30,3.92
1997-12-31,2.02
1998-01-31,1.433
1998-02-28,6.753
1998-03-31,4.816
1998-04-30,1.361
1998-05-31,-2.028
1998-06-30,4.335
1998-07-31,-1.246
1998-08-31,-14.659
1998-09-30,6.733
1998-10-31,8.122
1998-11-30,5.545
1998-12-31,6.545
1999-01-31,3.66
1999-02-28,-3.11
1999-03-31,4.255
1999-04-30,3.879
1999-05-31,-2.175
1999-06-30,5.485
1999-07-31,-3.078
1999-08-31,-0.387
1999-09-30,-2.105
1999-10-31,6.447
1999-11-30,1.703
1999-12-31,5.623
2000-01-31,-4.661
2000-02-29,-1.366
2000-03-31,9.556
2000-04-30,-3.146
2000-05-31,-1.315
2000-06-30,2.056
2000-07-31,-1.462
2000-08-31,6.382
2000-09-30,-5.534
2000-10-31,-0.159
2000-11-30,-7.564
2000-12-31,-0.195
2001-01-31,4.58
2001-02-28,-9.857
2001-03-31,-5.362
2001-04-30,8.549
2001-05-31,-0.455
2001-06-30,-2.342
2001-07-31,-0.876
2001-08-31,-5.982
2001-09-30,-8.142
2001-10-31,1.462
2001-11-30,7.645
2001-12-31,0.669
2002-01-31,-0.855
2002-02-28,-1.658
2002-03-31,3.364
2002-04-30,-5.867
2002-05-31,-0.393
2002-06-30,-7.453
2002-07-31,-7.435
2002-08-31,1.122
2002-09-30,-10.756
2002-10-31,8.552
2002-11-30,6.201
2002-12-31,-5.657
2003-01-31,-2.265
2003-02-28,-1.235
2003-03-31,0.502
2003-04-30,8.277
2003-05-31,5.441
2003-06-30,1.155
2003-07-31,1.89
2003-08-31,2.098
2003-09-30,-1.018
2003-10-31,5.273
2003-11-30,1.129
2003-12-31,4.951
2004-01-31,2.002
2004-02-29,1.374
2004-03-31,-1.233
2004-04-30,-1.847
2004-05-31,1.754
2004-06-30,1.876
2004-07-31,-3.219
2004-08-31,0.308
2004-09-30,1.032
2004-10-31,1.349
2004-11-30,4.395
2004-12-31,2.993
2005-01-31,-2.229
2005-02-28,2.112
2005-03-31,-1.8
2005-04-30,-1.797
2005-05-31,3.21
2005-06-30,0.178
2005-07-31,3.784
2005-08-31,-0.899
2005-09-30,0.829
2005-10-31,-2.299
2005-11-30,4.326
2005-12-31,-0.169
2006-01-31,2.423
2006-02-28,0.607
2006-03-31,1.665
2006-04-30,1.283
2006-05-31,-2.968
2006-06-30,0.355
2006-07-31,0.511
2006-08-31,2.18
2006-09-30,2.688
2006-10-31,3.121
2006-11-30,2.001
2006-12-31,1.346
