Date,Return
1993-12-31,8.736
1994-12-31,0.95
1995-12-31,32.627
1996-12-31,21.154
1997-12-31,30.915
1998-12-31,27.711
1999-12-31,20.194
2000-12-31,-7.409
2001-12-31,-10.111
2002-12-31,-20.833
2003-12-31,26.199
2004-12-31,10.785
2005-12-31,5.246
2006-12-31,15.21
2007-12-31,6.278
2008-12-31,-37.358
2009-12-31,26.929
2010-12-31,15.631
2011-12-31,4.528
2012-12-31,15.639
2013-12-31,28.623
2014-12-31,13.265
2015-12-31,2.415
2016-12-31,12.185
2017-12-31,19.877
2018-12-31,-3.232
2019-12-31,27.969
2020-12-31,22.469
2021-12-31,26.107
2022-12-31,-17.134
2023-12-31,24.105
2024-12-31,23.385
