Date,Return
2006-04-30,2.464
2006-05-31,-2.38
2006-06-30,3.165
2006-07-31,-0.186
2006-08-31,-6.808
2006-09-30,-12.537
2006-10-31,-8.555
2006-11-30,4.932
2006-12-31,-5.485
2007-01-31,-5.975
2007-02-28,6.245
2007-03-31,4.384
2007-04-30,-3.798
2007-05-31,-4.315
2007-06-30,8.1
2007-07-31,10.163
2007-08-31,-4.538
2007-09-30,11.622
2007-10-31,16.384
2007-11-30,-4.264
2007-12-31,8.38
2008-01-31,-4.364
2008-02-29,11.011
2008-03-31,1.744
2008-04-30,13.097
2008-05-31,11.288
2008-06-30,10.629
2008-07-31,-12.049
2008-08-31,-6.82
2008-09-30,-10.804
2008-10-31,-36.994
2008-11-30,-24.581
2008-12-31,-21.508
2009-01-31,-10.013
2009-02-28,-6.315
2009-03-31,9.334
2009-04-30,-0.357
2009-05-31,24.595
2009-06-30,4.682
2009-07-31,-2.092
2009-08-31,-1.555
2009-09-30,1.152
2009-10-31,8.688
2009-11-30,-0.117
2009-12-31,0.572
2010-01-31,-9.51
2010-02-28,9.0
2010-03-31,3.916
2010-04-30,2.777
2010-05-31,-18.754
2010-06-30,0.212
2010-07-31,4.299
2010-08-31,-9.825
2010-09-30,9.01
2010-10-31,1.274
2010-11-30,2.8
2010-12-31,8.038
2011-01-31,-0.666
2011-02-28,1.842
2011-03-31,8.667
2011-04-30,6.068
2011-05-31,-10.001
2011-06-30,-8.042
2011-07-31,0.676
2011-08-31,-7.106
2011-09-30,-11.797
2011-10-31,16.436
2011-11-30,8.398
2011-12-31,-1.393
2012-01-31,-0.57
2012-02-29,8.021
2012-03-31,-4.031
2012-04-30,1.252
2012-05-31,-19.327
2012-06-30,-1.715
2012-07-31,3.054
2012-08-31,9.565
2012-09-30,-4.829
2012-10-31,-6.778
2012-11-30,2.696
2012-12-31,2.555
2013-01-31,5.616
2013-02-28,-6.391
2013-03-31,5.078
2013-04-30,-4.408
2013-05-31,-1.476
2013-06-30,4.839
2013-07-31,9.067
2013-08-31,3.095
2013-09-30,-4.193
2013-10-31,-5.901
2013-11-30,-3.52
2013-12-31,5.483
2014-01-31,-1.344
2014-02-28,5.483
2014-03-31,-0.293
2014-04-30,-0.66
2014-05-31,3.718
2014-06-30,3.181
2014-07-31,-6.714
2014-08-31,-1.476
2014-09-30,-3.647
2014-10-31,-11.4
2014-11-30,-17.411
2014-12-31,-21.944
2015-01-31,-12.115
2015-02-28,2.596
2015-03-31,-6.303
2015-04-30,20.385
2015-05-31,-0.613
2015-06-30,-1.895
2015-07-31,-23.704
2015-08-31,3.223
2015-09-30,-7.113
2015-10-31,1.48
2015-11-30,-13.176
2015-12-31,-15.43
2016-01-31,-11.449
2016-02-29,-5.419
2016-03-31,8.342
2016-04-30,15.965
2016-05-31,5.247
2016-06-30,-2.0
2016-07-31,-16.384
2016-08-31,6.585
2016-09-30,5.98
2016-10-31,-3.424
2016-11-30,4.613
2016-12-31,7.23
2017-01-31,-3.22
2017-02-28,1.24
2017-03-31,-7.032
2017-04-30,-3.669
2017-05-31,-2.279
2017-06-30,-4.342
2017-07-31,8.202
2017-08-31,-6.217
2017-09-30,8.158
2017-10-31,4.882
2017-11-30,5.0
2017-12-31,4.751
2018-01-31,7.892
2018-02-28,-4.554
2018-03-31,5.878
2018-04-30,5.552
2018-05-31,-1.577
2018-06-30,10.979
2018-07-31,-5.044
2018-08-31,3.202
2018-09-30,5.52
2018-10-31,-11.451
2018-11-30,-24.223
2018-12-31,-9.483
2019-01-31,16.546
2019-02-28,5.372
2019-03-31,4.645
2019-04-30,6.332
2019-05-31,-17.439
2019-06-30,8.628
2019-07-31,0.38
2019-08-31,-4.294
2019-09-30,0.021
2019-10-31,-0.151
2019-11-30,3.111
2019-12-31,9.86
2020-01-31,-16.392
2020-02-29,-13.246
2020-03-31,-70.659
2020-04-30,-46.08
2020-05-31,31.874
2020-06-30,8.948
2020-07-31,3.728
2020-08-31,5.184
2020-09-30,-7.142
2020-10-31,-10.612
2020-11-30,20.981
2020-12-31,6.534
2021-01-31,6.623
2021-02-28,16.373
2021-03-31,-0.784
2021-04-30,6.863
2021-05-31,5.147
2021-06-30,9.473
2021-07-31,2.067
2021-08-31,-4.795
2021-09-30,9.195
2021-10-31,8.577
2021-11-30,-16.527
2021-12-31,13.09
2022-01-31,14.135
2022-02-28,7.91
2022-03-31,12.284
2022-04-30,4.6
2022-05-31,10.964
2022-06-30,-5.639
2022-07-31,-1.877
2022-08-31,-5.878
2022-09-30,-10.588
2022-10-31,9.623
2022-11-30,-1.249
2022-12-31,0.226
2023-01-31,-0.729
2023-02-28,-2.746
2023-03-31,-0.555
2023-04-30,1.988
2023-05-31,-10.113
2023-06-30,5.154
2023-07-31,14.315
2023-08-31,2.706
2023-09-30,7.583
2023-10-31,-6.889
2023-11-30,-6.204
2023-12-31,-4.729
2024-01-31,6.547
2024-02-29,3.598
2024-03-31,7.217
2024-04-30,-0.322
2024-05-31,-4.453
2024-06-30,6.417
2024-07-31,-2.106
2024-08-31,-4.007
2024-09-30,-5.691
2024-10-31,5.157
2024-11-30,-1.752
2024-12-31,4.538
