Date,Return
2018-06-30,-0.823
2018-07-31,-2.021
2018-08-31,1.531
2018-09-30,-0.049
2018-10-31,-5.775
2018-11-30,-2.074
2018-12-31,-7.952
2019-01-31,11.397
2019-02-28,-0.389
2019-03-31,2.072
2019-04-30,6.889
2019-05-31,-5.985
2019-06-30,4.796
2019-07-31,3.212
2019-08-31,-2.23
2019-09-30,0.287
2019-10-31,2.303
2019-11-30,3.78
2019-12-31,2.265
2020-01-31,0.601
2020-02-29,-5.795
2020-03-31,-10.449
2020-04-30,13.437
2020-05-31,7.344
2020-06-30,0.563
2020-07-31,7.437
2020-08-31,8.604
2020-09-30,-5.813
2020-10-31,-0.024
2020-11-30,10.134
2020-12-31,3.359
2021-01-31,-0.691
2021-02-28,6.868
2021-03-31,2.776
2021-04-30,6.371
2021-05-31,1.063
2021-06-30,2.961
2021-07-31,1.844
2021-08-31,3.877
2021-09-30,-6.4
2021-10-31,0.352
2021-11-30,-6.226
2021-12-31,3.339
2022-01-31,-4.697
2022-02-28,-7.26
2022-03-31,1.041
2022-04-30,-14.715
2022-05-31,2.367
2022-06-30,-9.588
2022-07-31,4.182
2022-08-31,-3.337
2022-09-30,-12.071
2022-10-31,1.145
2022-11-30,7.075
2022-12-31,-6.571
2023-01-31,13.95
2023-02-28,-2.511
2023-03-31,8.532
2023-04-30,3.508
2023-05-31,3.947
2023-06-30,4.702
2023-07-31,5.653
2023-08-31,-1.426
2023-09-30,-2.919
2023-10-31,-1.062
2023-11-30,7.593
2023-12-31,4.366
2024-01-31,4.435
2024-02-29,4.651
2024-03-31,3.196
2024-04-30,-4.573
2024-05-31,6.757
2024-06-30,3.141
2024-07-31,0.277
2024-08-31,1.89
2024-09-30,3.855
2024-10-31,1.845
2024-11-30,6.765
2024-12-31,-0.91
