Date,Return
1998-12-31,0.567
1999-01-31,1.986
1999-02-28,1.859
1999-03-31,3.464
1999-04-30,6.952
1999-05-31,-5.876
1999-06-30,4.457
1999-07-31,-6.2
1999-08-31,-4.136
1999-09-30,-5.06
1999-10-31,15.285
1999-11-30,-4.193
1999-12-31,-2.19
2000-01-31,-2.323
2000-02-29,-11.048
2000-03-31,17.6
2000-04-30,1.863
2000-05-31,2.59
2000-06-30,-4.49
2000-07-31,8.612
2000-08-31,9.929
2000-09-30,2.401
2000-10-31,-0.015
2000-11-30,-5.047
2000-12-31,8.484
2001-01-31,0.1
2001-02-28,-6.747
2001-03-31,-2.388
2001-04-30,3.941
2001-05-31,4.408
2001-06-30,-0.566
2001-07-31,-0.812
2001-08-31,-6.75
2001-09-30,-5.329
2001-10-31,-1.152
2001-11-30,6.477
2001-12-31,2.045
2002-01-31,-0.954
2002-02-28,-1.478
2002-03-31,6.563
2002-04-30,-2.457
2002-05-31,-0.137
2002-06-30,-4.087
2002-07-31,-7.678
2002-08-31,2.41
2002-09-30,-11.769
2002-10-31,9.913
2002-11-30,3.965
2002-12-31,-5.393
2003-01-31,-0.923
2003-02-28,-2.956
2003-03-31,-0.542
2003-04-30,12.083
2003-05-31,5.094
2003-06-30,0.565
2003-07-31,4.408
2003-08-31,-1.096
2003-09-30,0.995
2003-10-31,6.774
2003-11-30,-0.319
2003-12-31,4.484
2004-01-31,3.275
2004-02-29,2.856
2004-03-31,-1.062
2004-04-30,-4.36
2004-05-31,1.763
2004-06-30,0.482
2004-07-31,-2.13
2004-08-31,3.273
2004-09-30,-0.87
2004-10-31,0.633
2004-11-30,3.103
2004-12-31,4.096
2005-01-31,-2.14
2005-02-28,-0.616
2005-03-31,-3.807
2005-04-30,0.278
2005-05-31,2.983
2005-06-30,1.26
2005-07-31,1.578
2005-08-31,-1.602
2005-09-30,0.925
2005-10-31,3.096
2005-11-30,4.717
2005-12-31,0.053
2006-01-31,0.947
2006-02-28,2.152
2006-03-31,0.323
2006-04-30,4.293
2006-05-31,-3.747
2006-06-30,-0.345
2006-07-31,2.359
2006-08-31,1.209
2006-09-30,3.978
2006-10-31,2.341
2006-11-30,0.746
2006-12-31,3.727
2007-01-31,0.953
2007-02-28,-2.938
2007-03-31,-0.327
2007-04-30,3.868
2007-05-31,2.418
2007-06-30,-3.998
2007-07-31,-9.281
2007-08-31,3.109
2007-09-30,2.552
2007-10-31,-1.518
2007-11-30,-7.584
2007-12-31,-5.664
2008-01-31,1.612
2008-02-29,-11.62
2008-03-31,-1.845
2008-04-30,7.273
2008-05-31,-6.914
2008-06-30,-18.664
2008-07-31,9.125
2008-08-31,-0.028
2008-09-30,-1.939
2008-10-31,-19.223
2008-11-30,-16.049
2008-12-31,4.286
2009-01-31,-25.697
2009-02-28,-16.814
2009-03-31,21.193
2009-04-30,22.787
2009-05-31,15.016
2009-06-30,-1.322
2009-07-31,8.987
2009-08-31,12.656
2009-09-30,2.326
2009-10-31,-5.519
2009-11-30,4.501
2009-12-31,-1.296
2010-01-31,-1.285
2010-02-28,3.69
2010-03-31,8.587
2010-04-30,1.583
2010-05-31,-8.859
2010-06-30,-5.471
2010-07-31,6.636
2010-08-31,-7.924
2010-09-30,6.152
2010-10-31,1.564
2010-11-30,-0.482
2010-12-31,10.285
2011-01-31,2.901
2011-02-28,2.818
2011-03-31,-2.35
2011-04-30,-0.019
2011-05-31,-3.28
2011-06-30,-2.609
2011-07-31,-3.481
2011-08-31,-8.322
2011-09-30,-11.279
2011-10-31,14.422
2011-11-30,-4.49
2011-12-31,2.438
2012-01-31,7.942
2012-02-29,4.959
2012-03-31,7.308
2012-04-30,-2.226
2012-05-31,-9.502
2012-06-30,5.171
2012-07-31,0.256
