Date,Return
1998-12-31,5.397
1999-01-31,-0.925
1999-02-28,0.962
1999-03-31,2.192
1999-04-30,14.156
1999-05-31,-1.847
1999-06-30,6.048
1999-07-31,-3.682
1999-08-31,0.956
1999-09-30,-0.38
1999-10-31,-1.977
1999-11-30,-2.138
1999-12-31,8.028
2000-01-31,-8.247
2000-02-29,-5.517
2000-03-31,13.471
2000-04-30,1.885
2000-05-31,-0.15
2000-06-30,-3.83
2000-07-31,1.672
2000-08-31,9.562
2000-09-30,-2.824
2000-10-31,2.576
2000-11-30,-3.314
2000-12-31,4.234
2001-01-31,0.689
2001-02-28,-6.012
2001-03-31,-9.622
2001-04-30,11.346
2001-05-31,4.262
2001-06-30,-6.305
2001-07-31,-0.035
2001-08-31,-3.371
2001-09-30,-14.856
2001-10-31,2.065
2001-11-30,9.676
2001-12-31,4.56
2002-01-31,-6.326
2002-02-28,2.701
2002-03-31,2.877
2002-04-30,-6.93
2002-05-31,0.673
2002-06-30,-6.072
2002-07-31,-5.082
2002-08-31,-1.126
2002-09-30,-11.929
2002-10-31,5.553
2002-11-30,5.328
2002-12-31,-3.872
2003-01-31,-5.325
2003-02-28,-1.397
2003-03-31,1.387
2003-04-30,10.444
2003-05-31,2.826
2003-06-30,2.201
2003-07-31,3.344
2003-08-31,3.892
2003-09-30,-2.672
2003-10-31,6.055
2003-11-30,2.005
2003-12-31,6.469
2004-01-31,1.081
2004-02-29,-0.719
2004-03-31,-1.104
2004-04-30,0.051
2004-05-31,2.503
2004-06-30,6.05
2004-07-31,-2.786
2004-08-31,0.192
2004-09-30,2.182
2004-10-31,1.086
2004-11-30,6.137
2004-12-31,2.489
2005-01-31,-2.792
2005-02-28,1.2
2005-03-31,0.022
2005-04-30,-3.575
2005-05-31,3.187
2005-06-30,-2.617
2005-07-31,3.791
2005-08-31,-2.355
2005-09-30,1.701
2005-10-31,-1.353
2005-11-30,5.688
2005-12-31,0.505
2006-01-31,0.334
2006-02-28,3.102
2006-03-31,4.37
2006-04-30,2.188
2006-05-31,-1.652
2006-06-30,-0.012
2006-07-31,-5.718
2006-08-31,1.203
2006-09-30,3.795
2006-10-31,2.809
2006-11-30,2.463
2006-12-31,0.515
2007-01-31,2.099
2007-02-28,-1.054
2007-03-31,0.867
2007-04-30,4.575
2007-05-31,5.087
2007-06-30,0.111
2007-07-31,1.088
2007-08-31,0.266
2007-09-30,4.746
2007-10-31,-1.207
2007-11-30,-2.652
2007-12-31,0.014
2008-01-31,-5.451
2008-02-29,-1.888
2008-03-31,3.97
2008-04-30,3.138
2008-05-31,0.969
2008-06-30,-12.59
2008-07-31,1.223
