Date,Close,High,Low,Open,Volume,Daily_Return,Monthly Return,Yearly Return
1998-12-22,24.02500534057617,24.364705562359063,23.82587072780689,24.29442275785226,300500,,0.0,0.0
1998-12-23,24.598974227905277,24.598974227905277,24.10699474334717,24.55211903889974,338300,0.024,0.024,0.024
1998-12-24,24.50527000427246,24.59898040581844,24.411559602726488,24.59898040581844,243700,-0.004,0.02,0.02
1998-12-28,24.575551986694336,24.88011078157234,24.43498638905833,24.88011078157234,309300,0.003,0.023,0.023
1998-12-29,24.64583396911621,24.751258163851023,24.36470278315671,24.692689166776127,123800,0.003,0.026,0.026
1998-12-30,24.552120208740234,24.84496515397807,24.423268432835584,24.50526501750218,95600,-0.004,0.022,0.022
1998-12-31,24.458410263061523,24.66925862739826,24.247561898724783,24.552120647211183,77200,-0.004,0.018,0.018
1999-01-04,24.739532470703125,25.161229046908293,24.434973832332727,24.481829007466636,650600,0.011,0.0,0.0
1999-01-05,25.372085571289062,25.512651142321133,24.78639569198876,24.78639569198876,295200,0.026,0.026,0.026
1999-01-06,26.121768951416016,26.19205173783238,25.793782614806307,26.00463097405541,624700,0.03,0.056,0.056
1999-01-07,26.039777755737305,26.262339958777797,25.700077551096555,25.864070753336915,534600,-0.003,0.053,0.053
1999-01-08,26.145193099975582,26.66060013241238,25.85234819518195,26.6137449476454,532800,0.004,0.057,0.057
1999-01-11,26.40288734436035,26.894866611646567,26.121756334482512,26.894866611646567,497900,0.01,0.067,0.067
1999-01-12,25.68836212158203,26.66060747319685,25.68836212158203,26.61375227552867,486000,-0.027,0.038,0.038
1999-01-13,25.67665100097656,26.3560514380462,23.98986370894161,23.98986370894161,548300,-0.0,0.038,0.038
1999-01-14,25.325233459472656,25.95777860600898,25.16124027333361,25.746930223830205,366300,-0.014,0.024,0.024
1999-01-15,26.074914932250977,26.086628730513443,25.37208703650297,25.48922501912764,653900,0.03,0.054,0.054
1999-01-19,26.97688102722168,26.988594827059813,26.2506254372574,26.70746363094461,437300,0.035,0.09,0.09
1999-01-20,27.222862243652344,28.101396954613584,27.176007059067743,27.64455890491374,1132200,0.009,0.1,0.1
1999-01-21,26.52003288269043,27.2228606092635,26.33261215560428,27.17600542749196,1492900,-0.026,0.072,0.072
1999-01-22,26.051485061645508,26.543464545723342,25.78206772512669,26.051485061645508,1291000,-0.018,0.053,0.053
1999-01-25,26.50832748413086,26.52004128328425,25.93435132561455,26.379475693443524,946600,0.018,0.071,0.071
1999-01-26,27.574281692504883,27.59770928952485,26.801170990845865,26.801170990845865,713900,0.04,0.115,0.115
1999-01-27,26.988582611083984,28.10139309200976,26.988582611083984,27.925686173968845,1366900,-0.021,0.091,0.091
1999-01-28,27.93739891052246,27.94911270461492,27.445419558639045,27.550843705471205,903600,0.035,0.129,0.129
1999-01-29,28.347387313842773,28.37081490666413,27.69141471484476,28.019401014343764,933600,0.015,0.146,0.146
1999-02-01,28.370813369750977,28.76908242613889,28.159965045780904,28.605089285273284,913000,0.001,0.0,0.147
1999-02-02,27.89056205749512,28.48796594868884,27.457151391334968,28.48796594868884,1259200,-0.017,-0.017,0.127
1999-02-03,28.08968162536621,28.53480585462556,27.597702214079565,27.785122942188764,1334100,0.007,-0.01,0.135
1999-02-04,27.129152297973636,28.300531930874048,26.89487637139355,28.300531930874048,1945900,-0.034,-0.044,0.097
1999-02-05,26.47318458557129,27.15258489794436,26.05148783996042,26.988591719095687,1832400,-0.024,-0.067,0.07
1999-02-08,26.918302536010746,27.36342677289865,26.33261275063192,26.801164578934976,1314600,0.017,-0.051,0.088
1999-02-09,25.86406135559082,27.01201335416324,25.723495804745216,26.98858576235564,2085500,-0.039,-0.088,0.045
1999-02-10,26.051485061645508,26.543464545723342,25.676643549967157,25.981202278205817,1401800,0.007,-0.082,0.053
1999-02-11,27.15258407592773,27.199439268466005,26.2623354177006,26.520038976661084,2666700,0.042,-0.043,0.098
1999-02-12,26.074914932250977,26.82459802104885,25.93434935310137,26.52003926622471,2917400,-0.04,-0.081,0.054
1999-02-16,25.9577751159668,26.848023721027037,25.86406473648677,26.80116853128702,1726400,-0.004,-0.085,0.049
1999-02-17,25.372085571289062,26.21547899748149,25.161237214740957,25.301802785773024,2783500,-0.023,-0.106,0.026
1999-02-18,25.512643814086918,25.79377487539917,24.997236868347784,25.723492110071103,2075600,0.006,-0.101,0.031
1999-02-19,25.746923446655277,26.145192508159496,25.60635789553614,25.95777177333398,1673600,0.009,-0.092,0.041
1999-02-22,26.660600662231445,26.730883440778623,25.746924541118062,25.934345283910552,2368000,0.035,-0.06,0.078
1999-02-23,27.01201057434082,27.33999682589396,26.660596733391028,26.98858298494417,2065500,0.013,-0.048,0.092
1999-02-24,26.26233291625977,27.316574647956188,26.26233291625977,27.269719459880797,2500500,-0.028,-0.074,0.062
1999-02-25,26.33262062072754,26.33262062072754,25.582937471382984,25.77035825871912,2566200,0.003,-0.072,0.064
1999-02-26,25.53607940673828,26.332617663462223,25.301803448878296,26.28576247189023,2342600,-0.03,-0.1,0.032
1999-03-01,25.418947219848636,25.62979562996719,25.067533202984364,25.20809880973007,1092100,-0.005,0.0,0.027
1999-03-02,24.739532470703125,25.864056673916902,24.739532470703125,25.629780798247367,2480200,-0.027,-0.027,0.0
1999-03-03,25.16123390197754,25.27837186241505,24.645826876052485,25.11437871780253,1607800,0.017,-0.01,0.017
1999-03-04,25.418947219848636,25.840644040085756,24.83325719174152,25.770361236712898,3199100,0.01,0.0,0.027
1999-03-05,26.004636764526367,26.23891277141399,25.688364155228072,26.14520236865894,1876900,0.023,0.023,0.051
1999-03-08,26.75432014465332,26.801175346307705,26.262340527282287,26.61375453969017,1659400,0.029,0.053,0.081
1999-03-09,26.47318458557129,27.12915730096598,26.379474197657764,26.61375016744158,936000,-0.011,0.041,0.07
1999-03-10,26.47318458557129,26.637177764419963,26.156912026363138,26.47318458557129,442000,0.0,0.041,0.07
1999-03-11,26.426328659057617,26.965163374623508,26.168625099439147,26.613749429689232,1216200,-0.002,0.04,0.068
1999-03-12,26.19205093383789,26.6606028288976,25.910919796802062,26.6606028288976,836000,-0.009,0.03,0.059
1999-03-15,26.61374282836914,26.61374282836914,25.96948408912605,26.379466923189835,432100,0.016,0.047,0.076
1999-03-16,27.07058525085449,27.176009425349385,26.543464378380044,26.637174755708838,758800,0.017,0.065,0.094
1999-03-17,26.89488410949707,27.08230490468521,26.660608115511906,27.05887730528669,425400,-0.006,0.058,0.087
1999-03-18,27.269716262817383,27.293143854108465,26.70745407183146,26.80116443699578,321400,0.014,0.073,0.102
1999-03-19,26.61374282836914,27.64455681115809,26.61374282836914,27.503991268050505,636500,-0.024,0.047,0.076
1999-03-22,26.61374282836914,26.871446324066376,26.379466923189835,26.61374282836914,773500,0.0,0.047,0.076
1999-03-23,25.840639114379883,26.42632903084361,25.653218341111486,26.42632903084361,1498600,-0.029,0.017,0.045
1999-03-24,26.34432601928711,26.461463974019377,25.55950172258091,26.004625950563533,616700,0.019,0.036,0.065
1999-03-25,26.965160369873047,27.05887074474663,26.66060165153391,26.871449994999463,595100,0.024,0.061,0.09
1999-03-26,26.824594497680664,27.26971877318803,26.684028936994125,26.848022091128417,483500,-0.005,0.055,0.084
1999-03-29,27.831987380981445,27.87884257859253,27.10573181800971,27.17601461442633,949700,0.038,0.095,0.125
1999-03-30,27.785131454467773,28.113117829141085,27.550855472558265,27.69142106170397,842500,-0.002,0.093,0.123
1999-03-31,27.43372917175293,28.34740589053889,27.38687395540493,28.113129808798902,774700,-0.013,0.079,0.109
1999-04-01,27.867128372192383,28.13654575452127,27.36343500522968,28.113118156057887,318500,0.016,0.0,0.126
1999-04-05,28.82766342163086,28.862804823607654,28.18340438538962,28.20683198670748,1003500,0.034,0.034,0.165
1999-04-06,29.07364654541016,29.331350100607185,28.72223260650512,29.00336375762915,540100,0.009,0.043,0.175
1999-04-07,29.00336265563965,29.65933531667189,28.44110037475487,29.612480126598157,931700,-0.002,0.041,0.172
