Date,Return
1998-12-31,1.819
1999-01-31,15.234
1999-02-28,-9.886
1999-03-31,7.538
1999-04-30,1.142
1999-05-31,0.599
1999-06-30,9.53
1999-07-31,-0.882
1999-08-31,3.694
1999-09-30,-0.161
1999-10-31,3.322
1999-11-30,9.58
1999-12-31,14.546
2000-01-31,-5.687
2000-02-29,10.321
2000-03-31,8.545
2000-04-30,-8.359
2000-05-31,-9.95
2000-06-30,9.976
2000-07-31,-5.012
2000-08-31,9.831
2000-09-30,-19.245
2000-10-31,-4.425
2000-11-30,-21.917
2000-12-31,-8.851
2001-01-31,19.559
2001-02-28,-27.795
2001-03-31,-10.738
2001-04-30,17.055
2001-05-31,-3.643
2001-06-30,2.326
2001-07-31,-6.532
2001-08-31,-12.513
2001-09-30,-17.097
2001-10-31,11.124
2001-11-30,14.341
2001-12-31,-1.811
2002-01-31,-0.637
2002-02-28,-13.493
2002-03-31,5.232
2002-04-30,-12.453
2002-05-31,-3.181
2002-06-30,-13.843
2002-07-31,-8.582
2002-08-31,0.171
2002-09-30,-17.519
2002-10-31,23.282
2002-11-30,15.481
2002-12-31,-13.775
2003-01-31,-1.704
2003-02-28,0.715
2003-03-31,-1.059
2003-04-30,9.05
2003-05-31,8.478
2003-06-30,0.871
2003-07-31,3.335
2003-08-31,4.786
2003-09-30,-0.597
2003-10-31,7.235
2003-11-30,1.568
2003-12-31,3.205
2004-01-31,4.335
2004-02-29,-2.468
2004-03-31,-2.495
2004-04-30,-3.71
2004-05-31,3.907
2004-06-30,2.801
2004-07-31,-6.132
2004-08-31,-4.345
2004-09-30,2.972
2004-10-31,4.423
2004-11-30,5.05
2004-12-31,2.638
2005-01-31,-5.724
2005-02-28,0.214
2005-03-31,-1.914
2005-04-30,-3.435
2005-05-31,6.761
2005-06-30,-1.249
2005-07-31,5.571
2005-08-31,-0.9
2005-09-30,0.275
2005-10-31,-2.253
2005-11-30,6.157
2005-12-31,-3.084
2006-01-31,3.405
2006-02-28,0.309
2006-03-31,2.298
2006-04-30,-1.241
2006-05-31,-6.625
2006-06-30,-0.339
2006-07-31,-2.523
2006-08-31,6.869
2006-09-30,4.038
2006-10-31,3.932
2006-11-30,2.857
2006-12-31,-0.508
2007-01-31,2.069
2007-02-28,-2.633
2007-03-31,1.084
2007-04-30,4.641
2007-05-31,4.956
2007-06-30,-0.059
2007-07-31,-0.115
2007-08-31,2.099
2007-09-30,3.793
2007-10-31,5.268
2007-11-30,-7.494
2007-12-31,2.094
2008-01-31,-13.381
2008-02-29,-4.664
2008-03-31,1.478
2008-04-30,6.292
2008-05-31,6.521
2008-06-30,-9.66
2008-07-31,-2.242
2008-08-31,1.909
2008-09-30,-12.245
2008-10-31,-14.451
2008-11-30,-7.256
2008-12-31,2.5
2009-01-31,-4.237
2009-02-28,-3.419
2009-03-31,11.388
2009-04-30,10.231
2009-05-31,2.551
2009-06-30,3.723
2009-07-31,8.064
2009-08-31,1.738
2009-09-30,4.614
2009-10-31,-1.096
2009-11-30,5.495
2009-12-31,5.708
2010-01-31,-8.782
2010-02-28,3.518
2010-03-31,6.655
2010-04-30,1.329
2010-05-31,-7.349
2010-06-30,-5.271
2010-07-31,7.364
2010-08-31,-5.648
2010-09-30,11.138
2010-10-31,5.685
2010-11-30,-1.549
2010-12-31,5.445
2011-01-31,3.194
2011-02-28,2.24
2011-03-31,-1.415
2011-04-30,2.622
2011-05-31,-0.992
2011-06-30,-2.376
2011-07-31,0.552
2011-08-31,-4.618
2011-09-30,-2.857
2011-10-31,10.003
2011-11-30,-1.128
2011-12-31,-0.094
2012-01-31,6.059
2012-02-29,6.907
2012-03-31,4.47
2012-04-30,-1.0
2012-05-31,-6.451
2012-06-30,3.412
2012-07-31,1.937
2012-08-31,4.174
2012-09-30,1.59
2012-10-31,-6.494
2012-11-30,1.028
2012-12-31,-0.321
2013-01-31,1.976
2013-02-28,0.844
2013-03-31,2.572
2013-04-30,1.839
2013-05-31,2.798
2013-06-30,-2.85
2013-07-31,3.701
2013-08-31,-0.994
2013-09-30,2.533
2013-10-31,4.972
2013-11-30,3.077
2013-12-31,3.508
2014-01-31,-2.529
2014-02-28,4.356
2014-03-31,0.49
2014-04-30,0.388
2014-05-31,3.728
2014-06-30,1.868
2014-07-31,1.739
2014-08-31,3.256
2014-09-30,-0.467
2014-10-31,1.756
2014-11-30,4.715
2014-12-31,-2.078
2015-01-31,-3.428
2015-02-28,7.738
2015-03-31,-3.389
2015-04-30,2.771
2015-05-31,1.925
2015-06-30,-4.129
2015-07-31,2.902
2015-08-31,-5.291
2015-09-30,-1.148
2015-10-31,10.115
2015-11-30,0.774
2015-12-31,-1.945
2016-01-31,-3.482
2016-02-29,-0.506
2016-03-31,8.543
2016-04-30,-5.093
2016-05-31,4.842
2016-06-30,-1.227
2016-07-31,6.904
2016-08-31,1.175
2016-09-30,2.172
2016-10-31,-0.732
2016-11-30,0.259
2016-12-31,2.307
2017-01-31,3.519
2017-02-28,4.446
2017-03-31,2.235
2017-04-30,2.009
2017-05-31,3.935
2017-06-30,-2.752
2017-07-31,4.402
2017-08-31,2.955
2017-09-30,0.853
2017-10-31,6.363
2017-11-30,1.464
2017-12-31,0.584
2018-01-31,6.867
2018-02-28,-0.014
2018-03-31,-3.518
2018-04-30,0.249
2018-05-31,6.626
2018-06-30,-0.189
2018-07-31,2.164
2018-08-31,6.431
2018-09-30,0.027
2018-10-31,-7.818
2018-11-30,-1.595
2018-12-31,-8.216
2019-01-31,7.071
2019-02-28,6.734
2019-03-31,4.772
2019-04-30,6.203
2019-05-31,-8.871
2019-06-30,8.726
2019-07-31,3.5
2019-08-31,-1.185
2019-09-30,1.653
2019-10-31,3.969
2019-11-30,5.261
2019-12-31,4.277
2020-01-31,4.064
2020-02-29,-7.178
2020-03-31,-4.445
2020-04-30,13.833
2020-05-31,7.134
2020-06-30,7.084
2020-07-31,5.748
2020-08-31,11.37
2020-09-30,-4.921
2020-10-31,-4.814
2020-11-30,11.008
2020-12-31,5.464
2021-01-31,-0.67
2021-02-28,1.529
2021-03-31,2.197
2021-04-30,5.188
2021-05-31,-0.76
2021-06-30,6.73
2021-07-31,3.884
2021-08-31,3.557
2021-09-30,-5.907
2021-10-31,7.965
2021-11-30,4.487
2021-12-31,3.493
2022-01-31,-6.756
2022-02-28,-4.649
2022-03-31,3.786
2022-04-30,-11.185
2022-05-31,-0.005
2022-06-30,-9.15
2022-07-31,12.903
2022-08-31,-6.12
2022-09-30,-12.421
2022-10-31,7.926
2022-11-30,6.848
2022-12-31,-8.29
2023-01-31,9.066
2023-02-28,0.627
2023-03-31,10.51
2023-04-30,-0.017
2023-05-31,8.756
2023-06-30,6.003
2023-07-31,2.629
2023-08-31,-1.344
2023-09-30,-6.595
2023-10-31,0.175
2023-11-30,12.25
2023-12-31,4.153
2024-01-31,2.835
2024-02-29,4.724
2024-03-31,0.912
2024-04-30,-5.763
2024-05-31,6.974
2024-06-30,7.68
2024-07-31,-2.936
2024-08-31,1.136
2024-09-30,2.909
2024-10-31,-1.383
2024-11-30,5.166
2024-12-31,0.627
