Date,Return
1998-12-31,2.505
1999-01-31,-1.192
1999-02-28,-0.951
1999-03-31,0.034
1999-04-30,-3.232
1999-05-31,-0.885
1999-06-30,1.928
1999-07-31,-3.74
1999-08-31,1.886
1999-09-30,-9.292
1999-10-31,9.137
1999-11-30,0.437
1999-12-31,-7.333
2000-01-31,1.305
2000-02-29,-12.179
2000-03-31,4.361
2000-04-30,5.656
2000-05-31,7.026
2000-06-30,5.726
2000-07-31,-3.611
2000-08-31,-1.018
2000-09-30,4.472
2000-10-31,6.864
2000-11-30,3.566
2000-12-31,3.715
2001-01-31,-7.277
2001-02-28,0.647
2001-03-31,-6.926
2001-04-30,2.09
2001-05-31,1.55
2001-06-30,-4.596
2001-07-31,3.167
2001-08-31,0.53
2001-09-30,0.155
2001-10-31,-0.565
2001-11-30,4.403
2001-12-31,-1.895
2002-01-31,-0.618
2002-02-28,2.164
2002-03-31,1.69
2002-04-30,-3.713
2002-05-31,-1.029
2002-06-30,-10.552
2002-07-31,-3.901
2002-08-31,0.959
2002-09-30,-7.267
2002-10-31,4.053
2002-11-30,-2.676
2002-12-31,0.355
2003-01-31,-3.318
2003-02-28,-3.039
2003-03-31,0.198
2003-04-30,3.079
2003-05-31,4.861
2003-06-30,1.017
2003-07-31,-0.094
2003-08-31,1.711
2003-09-30,-0.359
2003-10-31,4.463
2003-11-30,1.205
2003-12-31,1.787
2004-01-31,0.043
2004-02-29,5.562
2004-03-31,-0.174
2004-04-30,1.336
2004-05-31,-0.529
2004-06-30,0.567
2004-07-31,-5.021
2004-08-31,1.8
2004-09-30,-2.626
2004-10-31,0.679
2004-11-30,2.511
2004-12-31,3.708
2005-01-31,1.187
2005-02-28,-0.101
2005-03-31,-0.845
2005-04-30,-0.988
2005-05-31,2.33
2005-06-30,-1.917
2005-07-31,3.188
2005-08-31,-1.73
2005-09-30,1.447
2005-10-31,-0.424
2005-11-30,0.923
2005-12-31,0.141
2006-01-31,0.197
2006-02-28,0.887
2006-03-31,0.86
2006-04-30,0.993
2006-05-31,0.264
2006-06-30,1.865
2006-07-31,1.608
2006-08-31,3.817
2006-09-30,-0.028
2006-10-31,1.783
2006-11-30,-0.828
2006-12-31,2.495
2007-01-31,2.023
2007-02-28,-1.514
2007-03-31,2.112
2007-04-30,2.796
2007-05-31,1.367
2007-06-30,-1.977
2007-07-31,-2.841
2007-08-31,2.444
2007-09-30,4.533
2007-10-31,1.552
2007-11-30,2.802
2007-12-31,-0.766
2008-01-31,-5.614
2008-02-29,-0.132
2008-03-31,3.275
2008-04-30,-0.707
2008-05-31,3.062
2008-06-30,-5.721
2008-07-31,2.521
2008-08-31,2.801
2008-09-30,-0.968
2008-10-31,-12.448
2008-11-30,0.257
2008-12-31,0.323
2009-01-31,-7.323
2009-02-28,-8.146
2009-03-31,4.481
2009-04-30,4.322
2009-05-31,5.105
2009-06-30,0.329
2009-07-31,6.561
2009-08-31,1.243
2009-09-30,3.289
2009-10-31,1.499
2009-11-30,3.652
2009-12-31,-0.179
2010-01-31,-0.999
2010-02-28,3.181
2010-03-31,3.72
2010-04-30,-1.049
2010-05-31,-4.565
2010-06-30,-2.425
2010-07-31,5.724
2010-08-31,-1.821
2010-09-30,5.91
2010-10-31,3.171
2010-11-30,-1.533
2010-12-31,4.33
2011-01-31,-1.459
2011-02-28,2.888
2011-03-31,1.292
2011-04-30,5.227
2011-05-31,2.504
2011-06-30,-2.633
2011-07-31,-1.249
2011-08-31,0.576
2011-09-30,-3.19
2011-10-31,4.645
2011-11-30,2.884
2011-12-31,2.792
2012-01-31,-1.407
2012-02-29,3.692
2012-03-31,3.07
2012-04-30,0.337
2012-05-31,-1.152
2012-06-30,3.649
2012-07-31,2.484
2012-08-31,-0.443
2012-09-30,1.784
2012-10-31,-1.201
2012-11-30,1.88
2012-12-31,-2.065
2013-01-31,5.538
2013-02-28,3.292
2013-03-31,4.834
2013-04-30,2.99
2013-05-31,-2.126
2013-06-30,-0.185
2013-07-31,4.275
2013-08-31,-4.605
2013-09-30,1.402
2013-10-31,6.28
2013-11-30,1.576
2013-12-31,0.736
2014-01-31,-5.254
2014-02-28,3.881
2014-03-31,2.194
2014-04-30,2.73
2014-05-31,1.817
2014-06-30,-0.235
2014-07-31,-3.333
2014-08-31,4.534
2014-09-30,0.623
2014-10-31,3.56
2014-11-30,5.42
2014-12-31,-0.87
2015-01-31,-0.891
2015-02-28,4.093
2015-03-31,-1.875
2015-04-30,-0.74
2015-05-31,0.899
2015-06-30,-1.8
2015-07-31,5.6
2015-08-31,-5.969
2015-09-30,0.52
2015-10-31,5.628
2015-11-30,-0.863
2015-12-31,2.996
2016-01-31,0.655
2016-02-29,0.372
2016-03-31,4.654
2016-04-30,-1.385
2016-05-31,0.754
2016-06-30,5.292
2016-07-31,-0.79
2016-08-31,-0.574
2016-09-30,-1.461
2016-10-31,-0.755
2016-11-30,-4.203
2016-12-31,2.994
2017-01-31,1.713
2017-02-28,4.69
2017-03-31,-0.414
2017-04-30,1.11
2017-05-31,2.627
2017-06-30,-2.249
2017-07-31,0.711
2017-08-31,-1.084
2017-09-30,-0.696
2017-10-31,-1.636
2017-11-30,5.477
2017-12-31,2.25
2018-01-31,1.649
2018-02-28,-7.741
2018-03-31,-0.839
2018-04-30,-4.099
2018-05-31,-1.509
2018-06-30,4.512
2018-07-31,3.923
2018-08-31,0.435
2018-09-30,1.022
2018-10-31,2.129
2018-11-30,2.296
2018-12-31,-9.148
2019-01-31,5.104
2019-02-28,1.788
2019-03-31,3.782
2019-04-30,2.837
2019-05-31,-3.642
2019-06-30,5.135
2019-07-31,2.373
2019-08-31,2.281
2019-09-30,1.761
2019-10-31,-0.369
2019-11-30,1.381
2019-12-31,2.397
2020-01-31,0.35
2020-02-29,-8.412
2020-03-31,-3.03
2020-04-30,7.049
2020-05-31,1.76
2020-06-30,-0.048
2020-07-31,6.748
2020-08-31,4.529
2020-09-30,-1.57
2020-10-31,-2.824
2020-11-30,7.286
2020-12-31,1.672
2021-01-31,-5.048
2021-02-28,-1.201
2021-03-31,8.242
2021-04-30,1.879
2021-05-31,1.8
2021-06-30,-0.493
2021-07-31,2.201
2021-08-31,1.081
2021-09-30,-4.173
2021-10-31,3.465
2021-11-30,-1.292
2021-12-31,10.033
2022-01-31,-1.449
2022-02-28,-1.311
2022-03-31,1.89
2022-04-30,2.404
2022-05-31,-3.817
2022-06-30,-2.212
2022-07-31,3.199
2022-08-31,-1.789
2022-09-30,-8.318
2022-10-31,8.798
2022-11-30,6.041
2022-12-31,-2.709
2023-01-31,-0.988
2023-02-28,-2.301
2023-03-31,4.202
2023-04-30,3.614
2023-05-31,-6.315
2023-06-30,2.786
2023-07-31,2.143
2023-08-31,-3.987
2023-09-30,-4.864
2023-10-31,-1.305
2023-11-30,4.086
2023-12-31,2.748
2024-01-31,1.27
2024-02-29,2.123
2024-03-31,3.292
2024-04-30,-1.096
2024-05-31,2.467
2024-06-30,-0.209
2024-07-31,1.685
2024-08-31,5.87
2024-09-30,1.15
2024-10-31,-3.493
2024-11-30,3.843
2024-12-31,-5.211
