Date,Return
2015-10-31,2.468
2015-11-30,-0.508
2015-12-31,2.641
2016-01-31,-6.4
2016-02-29,0.809
2016-03-31,10.317
2016-04-30,-2.388
2016-05-31,1.821
2016-06-30,5.984
2016-07-31,3.235
2016-08-31,-3.768
2016-09-30,-1.161
2016-10-31,-5.601
2016-11-30,-2.939
2016-12-31,4.357
2017-01-31,-0.086
2017-02-28,4.595
2017-03-31,-1.008
2017-04-30,0.182
2017-05-31,0.691
2017-06-30,1.918
2017-07-31,1.258
2017-08-31,1.053
2017-09-30,-1.34
2017-10-31,0.822
2017-11-30,2.913
2017-12-31,-0.396
2018-01-31,-1.833
2018-02-28,-6.836
2018-03-31,3.827
2018-04-30,-0.535
2018-05-31,2.268
2018-06-30,4.423
2018-07-31,1.096
2018-08-31,2.442
2018-09-30,-2.615
2018-10-31,-1.41
2018-11-30,5.398
2018-12-31,-7.328
2019-01-31,10.302
2019-02-28,1.129
2019-03-31,4.872
2019-04-30,-0.444
2019-05-31,1.28
2019-06-30,1.69
2019-07-31,1.795
2019-08-31,4.795
2019-09-30,1.063
2019-10-31,0.018
2019-11-30,-1.679
2019-12-31,1.202
2020-01-31,1.5
2020-02-29,-6.128
2020-03-31,-11.829
2020-04-30,10.294
2020-05-31,2.574
2020-06-30,1.778
2020-07-31,4.229
2020-08-31,0.092
2020-09-30,-1.869
2020-10-31,-3.087
2020-11-30,6.792
2020-12-31,1.559
2021-01-31,0.691
2021-02-28,1.637
2021-03-31,6.708
2021-04-30,8.034
2021-05-31,1.23
2021-06-30,3.177
2021-07-31,4.594
2021-08-31,2.807
2021-09-30,-6.35
2021-10-31,7.386
2021-11-30,-0.798
2021-12-31,9.914
2022-01-31,-8.842
2022-02-28,-4.717
2022-03-31,7.697
2022-04-30,-3.367
2022-05-31,-4.86
2022-06-30,-6.721
2022-07-31,8.333
2022-08-31,-5.63
2022-09-30,-13.803
2022-10-31,2.396
2022-11-30,7.088
2022-12-31,-4.774
2023-01-31,9.69
2023-02-28,-5.922
2023-03-31,-1.116
2023-04-30,1.089
2023-05-31,-4.494
2023-06-30,5.542
2023-07-31,1.384
2023-08-31,-3.039
2023-09-30,-7.382
2023-10-31,-2.656
2023-11-30,12.025
2023-12-31,8.546
2024-01-31,-4.828
2024-02-29,2.669
2024-03-31,1.833
2024-04-30,-8.632
2024-05-31,5.145
2024-06-30,1.989
2024-07-31,7.082
2024-08-31,5.692
2024-09-30,3.284
2024-10-31,-3.255
2024-11-30,4.204
2024-12-31,-9.689
