Date,Close,High,Low,Open,Volume,Daily_Return,Monthly Return,Yearly Return
1998-12-22,11.996535301208496,12.166208665866762,11.996535301208496,12.166208665866762,7900,,0.0,0.0
1998-12-23,11.946264266967772,11.98396946717914,11.921127466826864,11.98396946717914,24100,-0.004,-0.004,-0.004
1998-12-24,12.16620922088623,12.191346016797151,12.128504027019847,12.153640822930768,23800,0.018,0.014,0.014
1998-12-28,12.10336971282959,12.166211715492256,12.08451711203079,12.14107491442719,3100,-0.005,0.009,0.009
1998-12-29,12.304462432861328,12.335883429880893,12.15364164716742,12.15364164716742,12000,0.017,0.026,0.026
1998-12-30,12.203917503356934,12.398727720969738,12.203917503356934,12.367306718128964,70400,-0.008,0.017,0.017
1998-12-31,12.159924507141112,12.159924507141112,12.078229923889005,12.159924507141112,21600,-0.004,0.014,0.014
1999-01-04,11.965113639831545,12.166207986719469,11.914840053109565,12.071945011615751,109300,-0.016,0.0,0.0
1999-01-05,12.109655380249023,12.109655380249023,12.009108163806893,12.059381772027958,111200,0.012,0.012,0.012
1999-01-06,12.23534107208252,12.273046283398644,12.147362245678227,12.147362245678227,41000,0.01,0.023,0.023
1999-01-07,12.191351890563965,12.36102534471099,12.166215082542184,12.235341304602082,222300,-0.004,0.019,0.019
1999-01-08,12.260478973388672,12.273047378281946,12.109658114669385,12.229057961155489,135900,0.006,0.025,0.025
1999-01-11,11.93369483947754,12.19134701873956,11.889705443018167,12.19134701873956,129000,-0.027,-0.003,-0.003
1999-01-12,11.939977645874023,12.11593521118164,11.87713565826416,11.921125049591064,7100,0.001,-0.002,-0.002
1999-01-13,12.02167510986328,12.109653913594638,11.864570103200144,11.864570103200144,25900,0.007,0.005,0.005
1999-01-14,11.820582389831545,11.97140321777198,11.76402457935388,11.852003395652469,20000,-0.017,-0.012,-0.012
1999-01-15,11.877142906188965,11.983974350318706,11.833153488017894,11.86457450099723,6900,0.005,-0.007,-0.007
1999-01-19,12.279327392578123,12.279327392578123,12.065664582267145,12.24162219075854,12200,0.034,0.026,0.026
1999-01-20,12.229052543640137,12.361020736557116,12.178778946338433,12.29189454026727,32700,-0.004,0.022,0.022
1999-01-21,12.185062408447266,12.317030593376296,12.185062408447266,12.317030593376296,20500,-0.004,0.018,0.018
1999-01-22,12.266757011413574,12.35473580145445,12.053094235600016,12.10336782990909,20800,0.007,0.025,0.025
1999-01-25,11.808016777038574,12.266763570398776,11.808016777038574,12.266763570398776,13600,-0.037,-0.013,-0.013
