Date,Return
1998-12-31,1.389
1999-01-31,-2.268
1999-02-28,-2.583
1999-03-31,-6.334
1999-04-30,9.39
1999-05-31,1.337
1999-06-30,4.149
1999-07-31,0.362
1999-08-31,-4.787
1999-09-30,2.655
1999-10-31,0.794
1999-11-30,-3.268
1999-12-31,-2.071
2000-01-31,-1.464
2000-02-29,-12.73
2000-03-31,10.709
2000-04-30,6.591
2000-05-31,0.017
2000-06-30,-3.252
2000-07-31,1.644
2000-08-31,3.999
2000-09-30,12.66
2000-10-31,5.839
2000-11-30,0.023
2000-12-31,-1.152
2001-01-31,-5.645
2001-02-28,2.124
2001-03-31,-1.066
2001-04-30,4.878
2001-05-31,0.801
2001-06-30,-4.983
2001-07-31,-0.669
2001-08-31,-3.517
2001-09-30,-0.803
2001-10-31,-5.261
2001-11-30,-1.207
2001-12-31,3.236
2002-01-31,-3.58
2002-02-28,-0.073
2002-03-31,5.279
2002-04-30,-6.048
2002-05-31,-0.69
2002-06-30,-6.724
2002-07-31,-14.161
2002-08-31,4.281
2002-09-30,-12.38
2002-10-31,-1.144
2002-11-30,3.261
2002-12-31,3.277
2003-01-31,-1.98
2003-02-28,-5.33
2003-03-31,5.095
2003-04-30,8.35
2003-05-31,9.807
2003-06-30,1.439
2003-07-31,-6.812
2003-08-31,2.02
2003-09-30,4.909
2003-10-31,0.71
2003-11-30,0.277
2003-12-31,6.376
2004-01-31,2.077
2004-02-29,1.928
2004-03-31,1.123
2004-04-30,-4.301
2004-05-31,1.309
2004-06-30,1.757
2004-07-31,1.557
2004-08-31,4.015
2004-09-30,0.664
2004-10-31,4.804
2004-11-30,4.476
2004-12-31,2.481
2005-01-31,2.156
2005-02-28,2.198
2005-03-31,1.21
2005-04-30,3.127
2005-05-31,-0.024
2005-06-30,5.818
2005-07-31,2.284
2005-08-31,0.759
2005-09-30,4.213
2005-10-31,-6.333
2005-11-30,-0.097
2005-12-31,0.909
2006-01-31,2.456
2006-02-28,1.327
2006-03-31,-4.688
2006-04-30,1.664
2006-05-31,1.739
2006-06-30,2.336
2006-07-31,4.732
2006-08-31,2.763
2006-09-30,-1.43
2006-10-31,5.188
2006-11-30,2.656
2006-12-31,0.867
2007-01-31,-0.33
2007-02-28,5.299
2007-03-31,3.616
2007-04-30,4.849
2007-05-31,0.525
2007-06-30,-4.655
2007-07-31,-3.879
2007-08-31,1.869
2007-09-30,3.851
2007-10-31,6.56
2007-11-30,0.793
2007-12-31,-0.071
2008-01-31,-7.326
2008-02-29,-3.933
2008-03-31,1.71
2008-04-30,5.077
2008-05-31,3.607
2008-06-30,-0.572
2008-07-31,-6.514
2008-08-31,-1.007
2008-09-30,-10.94
2008-10-31,-11.007
2008-11-30,5.45
2008-12-31,-1.881
2009-01-31,0.005
2009-02-28,-13.091
2009-03-31,2.338
2009-04-30,1.231
2009-05-31,3.754
2009-06-30,5.439
2009-07-31,3.897
2009-08-31,1.063
2009-09-30,1.413
2009-10-31,-3.15
2009-11-30,4.814
2009-12-31,5.41
2010-01-31,-4.84
2010-02-28,-1.237
2010-03-31,2.702
2010-04-30,2.662
2010-05-31,-5.476
2010-06-30,-0.473
2010-07-31,7.348
2010-08-31,1.536
2010-09-30,2.923
2010-10-31,1.098
2010-11-30,-3.028
2010-12-31,3.084
2011-01-31,1.23
2011-02-28,1.247
2011-03-31,0.324
2011-04-30,4.015
2011-05-31,2.156
2011-06-30,-0.103
2011-07-31,-0.879
2011-08-31,2.668
2011-09-30,0.352
2011-10-31,3.727
2011-11-30,1.216
2011-12-31,3.367
2012-01-31,-3.627
2012-02-29,0.618
2012-03-31,1.383
2012-04-30,1.787
2012-05-31,0.581
2012-06-30,4.067
2012-07-31,2.523
2012-08-31,-4.198
2012-09-30,1.195
2012-10-31,1.425
2012-11-30,-4.301
2012-12-31,0.037
2013-01-31,4.683
2013-02-28,2.325
2013-03-31,5.261
2013-04-30,5.838
2013-05-31,-9.392
2013-06-30,1.02
2013-07-31,4.316
2013-08-31,-5.065
2013-09-30,1.233
2013-10-31,3.774
2013-11-30,-1.908
2013-12-31,0.955
2014-01-31,2.999
2014-02-28,3.429
2014-03-31,3.352
2014-04-30,4.183
2014-05-31,-1.006
2014-06-30,4.403
2014-07-31,-6.941
2014-08-31,4.883
2014-09-30,-1.825
2014-10-31,7.828
2014-11-30,1.249
2014-12-31,3.641
2015-01-31,2.376
2015-02-28,-6.392
2015-03-31,-0.819
2015-04-30,-0.405
2015-05-31,0.692
2015-06-30,-6.096
2015-07-31,6.025
2015-08-31,-3.328
2015-09-30,3.008
2015-10-31,1.141
2015-11-30,-2.021
2015-12-31,2.22
2016-01-31,4.94
2016-02-29,2.021
2016-03-31,7.725
2016-04-30,-2.349
2016-05-31,1.57
2016-06-30,7.41
2016-07-31,-0.603
2016-08-31,-5.612
2016-09-30,0.533
2016-10-31,0.983
2016-11-30,-5.323
2016-12-31,4.864
2017-01-31,1.288
2017-02-28,5.202
2017-03-31,-0.073
2017-04-30,0.773
2017-05-31,4.081
2017-06-30,-2.714
2017-07-31,2.423
2017-08-31,3.256
2017-09-30,-2.742
2017-10-31,3.853
2017-11-30,2.687
2017-12-31,-6.183
2018-01-31,-3.097
2018-02-28,-3.781
2018-03-31,3.804
2018-04-30,2.075
2018-05-31,-1.04
2018-06-30,2.863
2018-07-31,1.673
2018-08-31,1.317
2018-09-30,-0.565
2018-10-31,2.107
2018-11-30,3.549
2018-12-31,-3.904
2019-01-31,3.542
2019-02-28,4.05
2019-03-31,2.79
2019-04-30,0.964
2019-05-31,-0.71
2019-06-30,3.221
2019-07-31,-0.093
2019-08-31,5.025
2019-09-30,4.21
2019-10-31,-0.707
2019-11-30,-1.842
2019-12-31,3.266
2020-01-31,6.571
2020-02-29,-10.156
2020-03-31,-5.947
2020-04-30,4.511
2020-05-31,4.459
2020-06-30,-4.519
2020-07-31,7.656
2020-08-31,-2.534
2020-09-30,1.233
2020-10-31,5.045
2020-11-30,0.901
2020-12-31,0.694
2021-01-31,-0.701
2021-02-28,-6.204
2021-03-31,10.159
2021-04-30,4.152
2021-05-31,-2.267
2021-06-30,-2.133
2021-07-31,4.32
2021-08-31,3.862
2021-09-30,-6.19
2021-10-31,4.721
2021-11-30,-1.612
2021-12-31,9.322
2022-01-31,-3.227
2022-02-28,-1.796
2022-03-31,9.961
2022-04-30,-4.252
2022-05-31,4.342
2022-06-30,-4.719
2022-07-31,5.51
2022-08-31,0.593
2022-09-30,-11.641
2022-10-31,2.349
2022-11-30,6.984
2022-12-31,-0.407
2023-01-31,-1.913
2023-02-28,-5.982
2023-03-31,5.016
2023-04-30,1.976
2023-05-31,-5.975
2023-06-30,1.663
2023-07-31,2.559
2023-08-31,-6.247
2023-09-30,-5.667
2023-10-31,1.543
2023-11-30,5.151
2023-12-31,1.986
2024-01-31,-2.914
2024-02-29,1.201
2024-03-31,6.47
2024-04-30,1.743
2024-05-31,8.693
2024-06-30,-5.638
2024-07-31,6.695
2024-08-31,4.771
2024-09-30,6.478
2024-10-31,-0.96
2024-11-30,3.831
2024-12-31,-8.12
