Date,Close,High,Low,Open,Volume,Daily_Return,Monthly Return,Yearly Return
1998-12-22,17.089309692382812,17.110644660787784,16.939964913548007,16.939964913548007,5700,,0.0,0.0
1998-12-23,17.473337173461914,17.473337173461914,17.195982615152992,17.195982615152992,18100,0.022,0.022,0.022
1998-12-24,17.580015182495117,17.580015182495117,17.4200029083826,17.494675302968442,4900,0.006,0.029,0.029
1998-12-28,17.323991775512695,17.580011358402047,17.323991775512695,17.526673945300097,15500,-0.015,0.014,0.014
1998-12-29,17.7080135345459,17.7080135345459,17.323984325362975,17.323984325362975,5300,0.022,0.036,0.036
1998-12-30,17.558670043945312,17.77201961920589,17.558670043945312,17.75068466167983,17300,-0.008,0.027,0.027
1998-12-31,17.750680923461914,17.750680923461914,17.580001299197857,17.62267120526387,6600,0.011,0.039,0.039
1999-01-04,17.7080135345459,18.00670291946595,17.60133875421731,17.921363095203077,249200,-0.002,0.0,0.0
1999-01-05,17.985374450683594,17.985374450683594,17.750689849310497,17.750689849310497,4400,0.016,0.016,0.016
1999-01-06,18.28406143188477,18.28406143188477,18.07071182357806,18.1133817452394,38500,0.017,0.033,0.033
1999-01-07,18.19871711730957,18.220052072898444,17.98536756142083,18.113377294954077,15900,-0.005,0.028,0.028
1999-01-08,18.42274284362793,18.42274284362793,18.24139563555516,18.24139563555516,24400,0.012,0.04,0.04
1999-01-11,18.465408325195312,18.60408556853878,18.30539612133747,18.412070923909365,7700,0.002,0.043,0.043
1999-01-12,18.390748977661133,18.604098733782493,18.369414002049,18.518758831333948,270700,-0.004,0.039,0.039
1999-01-13,18.220048904418945,18.34805861569121,17.601335299936334,17.601335299936334,7100,-0.009,0.029,0.029
1999-01-14,18.070709228515625,18.337396200601155,18.006704355215096,18.28405880618405,12200,-0.008,0.02,0.02
1999-01-15,18.31606674194336,18.369404152374177,18.13471954647857,18.13471954647857,7700,0.014,0.034,0.034
1999-01-19,18.83876609802246,18.88143600990926,18.518741758871457,18.625416538588457,22700,0.029,0.064,0.064
1999-01-20,18.945444107055664,19.20146362201588,18.838769309155573,18.945444107055664,25800,0.006,0.07,0.07
1999-01-21,18.28406143188477,18.902775295974216,18.241391510223423,18.902775295974216,23200,-0.035,0.033,0.033
1999-01-22,18.20938491821289,18.34806213200127,18.028037792489624,18.156047528294284,67100,-0.004,0.028,0.028
1999-01-25,18.35873413085937,18.369401611469986,18.220056882921448,18.220056882921448,495300,0.008,0.037,0.037
1999-01-26,18.444076538085938,18.454744020178524,18.209391932048984,18.390739127622997,187400,0.005,0.042,0.042
1999-01-27,18.26272964477539,18.49741425469657,18.26272964477539,18.49741425469657,6800,-0.01,0.031,0.031
1999-01-28,18.60407829284668,18.668083149358765,18.43339867548111,18.43339867548111,25800,0.019,0.051,0.051
1999-01-29,18.60407829284668,18.625413245017373,18.369393818969023,18.625413245017373,13800,0.0,0.051,0.051
1999-02-01,18.71076202392578,18.753431948723787,18.54008232473376,18.68942706152677,34000,0.006,0.0,0.057
1999-02-02,18.433406829833984,18.46540927224689,18.17738729053073,18.412071868225382,141700,-0.015,-0.015,0.041
1999-02-03,18.785423278808597,18.785423278808597,18.390726707930728,18.390726707930728,38900,0.019,0.004,0.061
1999-02-04,18.64675521850586,18.73209505932282,18.51874545728042,18.6680901787101,7400,-0.007,-0.003,0.053
1999-02-05,18.433406829833984,18.646756445920023,18.30539706018236,18.646756445920023,16900,-0.011,-0.015,0.041
1999-02-08,18.42274284362793,18.51875018907822,18.34807046383326,18.51875018907822,6500,-0.001,-0.015,0.04
1999-02-09,18.092050552368164,18.497414892574525,18.092050552368164,18.476079927300507,220800,-0.018,-0.033,0.022
1999-02-10,18.134716033935547,18.134716033935547,17.878696513456457,17.96403635361615,17800,0.002,-0.031,0.024
1999-02-11,18.62541389465332,18.62541389465332,18.006700260123026,18.07070511886754,5300,0.027,-0.005,0.052
1999-02-12,18.34806060791016,18.518740241472116,18.241385836933937,18.518740241472116,8400,-0.015,-0.019,0.036
1999-02-16,18.51874351501465,18.64675326281429,18.43340368314822,18.43340368314822,18500,0.009,-0.01,0.046
1999-02-17,18.32673072814941,18.604085209483458,18.3053957680468,18.476075448867743,12900,-0.01,-0.021,0.035
1999-02-18,18.56142234802246,18.57208983213052,18.273400277104876,18.39074260229352,11500,0.013,-0.008,0.048
1999-02-19,18.6147403717041,18.689412682650765,18.5614030067422,18.5614030067422,13900,0.003,-0.005,0.051
1999-02-22,19.00945472717285,19.02012221018473,18.64676030476888,18.689430236816406,17800,0.021,0.016,0.073
1999-02-23,18.977447509765625,19.052119872086237,18.77476538346684,19.052119872086237,15000,-0.002,0.014,0.072
1999-02-24,18.753427505493164,19.105454301671365,18.753427505493164,19.030781950966897,28000,-0.012,0.002,0.059
1999-02-25,18.572084426879883,18.66809175591028,18.34806732580896,18.66809175591028,98900,-0.01,-0.007,0.049
1999-02-26,18.62541389465332,18.67875127694041,18.35872698321785,18.64674884756816,10800,0.003,-0.005,0.052
1999-03-01,18.59341812133789,18.604085601614045,18.36940103553864,18.582750641061736,8800,-0.002,0.0,0.05
1999-03-02,18.582752227783203,18.870774219832654,18.46540993472602,18.710762002027405,11500,-0.001,-0.001,0.049
1999-03-03,18.465408325195312,18.64675548956754,18.433405884423745,18.64675548956754,13100,-0.006,-0.007,0.043
1999-03-04,18.79609680175781,18.79609680175781,18.593414713657133,18.73209193183128,10400,0.018,0.011,0.061
1999-03-05,19.2227840423584,19.26545392924488,19.009434607926007,19.07343943825573,25400,0.023,0.034,0.086
1999-03-08,19.24412727355957,19.24412727355957,19.073447652508044,19.18012241566525,62700,0.001,0.035,0.087
