Date,Return
1998-12-31,3.868
1999-01-31,4.88
1999-02-28,0.271
1999-03-31,2.735
1999-04-30,3.809
1999-05-31,-2.97
1999-06-30,4.415
1999-07-31,-2.966
1999-08-31,-4.464
1999-09-30,-1.218
1999-10-31,5.212
1999-11-30,1.257
1999-12-31,8.735
2000-01-31,-1.797
2000-02-29,-6.492
2000-03-31,8.926
2000-04-30,-0.778
2000-05-31,-2.467
2000-06-30,0.375
2000-07-31,-1.359
2000-08-31,3.572
2000-09-30,-3.561
2000-10-31,1.905
2000-11-30,-9.317
2000-12-31,1.905
2001-01-31,7.589
2001-02-28,-1.843
2001-03-31,-6.212
2001-04-30,7.365
2001-05-31,3.883
2001-06-30,-1.025
2001-07-31,-1.904
2001-08-31,-5.096
2001-09-30,-15.008
2001-10-31,0.847
2001-11-30,11.111
2001-12-31,2.565
2002-01-31,-0.653
2002-02-28,4.657
2002-03-31,5.737
2002-04-30,-0.497
2002-05-31,1.506
2002-06-30,-7.171
2002-07-31,-1.822
2002-08-31,1.484
2002-09-30,-6.016
2002-10-31,5.951
2002-11-30,3.154
2002-12-31,-3.754
2003-01-31,-0.158
2003-02-28,-2.153
2003-03-31,3.712
2003-04-30,3.359
2003-05-31,2.173
2003-06-30,4.498
2003-07-31,-1.453
2003-08-31,-3.703
2003-09-30,0.331
2003-10-31,0.771
2003-11-30,2.224
2003-12-31,5.665
2004-01-31,2.767
2004-02-29,1.094
2004-03-31,-4.173
2004-04-30,3.145
2004-05-31,-0.282
2004-06-30,-0.344
2004-07-31,-5.468
2004-08-31,1.708
2004-09-30,-1.708
2004-10-31,-2.117
2004-11-30,2.003
2004-12-31,5.464
2005-01-31,-3.109
2005-02-28,3.023
2005-03-31,-0.507
2005-04-30,3.499
2005-05-31,1.28
2005-06-30,-0.505
2005-07-31,2.278
2005-08-31,-0.308
2005-09-30,-0.522
2005-10-31,-3.032
2005-11-30,1.239
2005-12-31,3.429
2006-01-31,1.332
2006-02-28,1.189
2006-03-31,-1.258
2006-04-30,-3.104
2006-05-31,-2.064
2006-06-30,0.104
2006-07-31,5.379
2006-08-31,2.836
2006-09-30,1.548
2006-10-31,0.357
2006-11-30,-0.051
2006-12-31,1.049
2007-01-31,3.029
2007-02-28,-2.283
2007-03-31,0.24
2007-04-30,7.093
2007-05-31,1.734
2007-06-30,-3.352
2007-07-31,-4.772
2007-08-31,2.358
2007-09-30,3.111
2007-10-31,1.914
2007-11-30,1.403
2007-12-31,-2.817
2008-01-31,-4.462
2008-02-29,-2.63
2008-03-31,-4.5
2008-04-30,1.062
2008-05-31,1.97
2008-06-30,-4.197
2008-07-31,4.491
2008-08-31,2.175
2008-09-30,-7.5
2008-10-31,-9.851
2008-11-30,-6.023
2008-12-31,7.342
2009-01-31,-1.035
2009-02-28,-12.819
2009-03-31,6.421
2009-04-30,-0.045
2009-05-31,6.727
2009-06-30,2.529
2009-07-31,5.882
2009-08-31,2.7
2009-09-30,0.682
2009-10-31,-2.026
2009-11-30,8.958
2009-12-31,1.871
2010-01-31,0.789
2010-02-28,0.472
2010-03-31,2.68
2010-04-30,-3.898
2010-05-31,-6.549
2010-06-30,-1.697
2010-07-31,1.394
2010-08-31,-1.523
2010-09-30,8.755
2010-10-31,2.266
2010-11-30,-2.869
2010-12-31,4.538
2011-01-31,0.601
2011-02-28,3.124
2011-03-31,1.881
2011-04-30,6.276
2011-05-31,2.477
2011-06-30,-1.049
2011-07-31,-3.985
2011-08-31,-1.426
2011-09-30,-4.353
2011-10-31,5.841
2011-11-30,1.219
2011-12-31,3.013
2012-01-31,3.172
2012-02-29,1.08
2012-03-31,4.429
2012-04-30,-0.221
2012-05-31,-3.653
2012-06-30,5.661
2012-07-31,1.076
2012-08-31,1.188
2012-09-30,3.766
2012-10-31,-0.158
2012-11-30,0.585
2012-12-31,-0.32
2013-01-31,7.37
2013-02-28,1.289
2013-03-31,6.059
2013-04-30,3.062
2013-05-31,1.727
2013-06-30,-0.472
2013-07-31,6.958
2013-08-31,-3.547
2013-09-30,3.187
2013-10-31,4.322
2013-11-30,4.648
2013-12-31,0.805
2014-01-31,1.03
2014-02-28,6.106
2014-03-31,-1.183
2014-04-30,-0.496
2014-05-31,2.872
2014-06-30,2.119
2014-07-31,0.207
2014-08-31,4.774
2014-09-30,0.49
2014-10-31,5.356
2014-11-30,3.458
2014-12-31,-1.269
2015-01-31,1.405
2015-02-28,4.262
2015-03-31,0.767
2015-04-30,-1.036
2015-05-31,4.467
2015-06-30,-0.316
