Date,Return
1998-12-31,2.593
1999-01-31,5.197
1999-02-28,-0.382
1999-03-31,4.999
1999-04-30,2.747
1999-05-31,-4.397
1999-06-30,6.428
1999-07-31,-7.629
1999-08-31,-3.745
1999-09-30,-1.265
1999-10-31,8.882
1999-11-30,0.148
1999-12-31,9.292
2000-01-31,-12.854
2000-02-29,-5.317
2000-03-31,13.865
2000-04-30,-1.559
2000-05-31,-5.174
2000-06-30,-5.302
2000-07-31,1.842
2000-08-31,-3.913
2000-09-30,0.393
2000-10-31,-0.538
2000-11-30,-2.058
2000-12-31,7.247
2001-01-31,11.675
2001-02-28,-7.075
2001-03-31,-1.123
2001-04-30,4.943
2001-05-31,2.507
2001-06-30,-0.673
2001-07-31,4.571
2001-08-31,-8.966
2001-09-30,-12.633
2001-10-31,5.62
2001-11-30,12.736
2001-12-31,4.593
2002-01-31,3.418
2002-02-28,0.694
2002-03-31,1.386
2002-04-30,-2.688
2002-05-31,-0.289
2002-06-30,-5.207
2002-07-31,-11.929
2002-08-31,3.582
2002-09-30,-8.836
2002-10-31,7.163
2002-11-30,4.86
2002-12-31,-8.648
2003-01-31,-3.028
2003-02-28,-0.238
2003-03-31,2.898
2003-04-30,11.278
2003-05-31,5.335
2003-06-30,1.55
2003-07-31,1.927
2003-08-31,5.049
2003-09-30,-4.786
2003-10-31,8.83
2003-11-30,0.96
2003-12-31,3.981
2004-01-31,-0.512
2004-02-29,2.193
2004-03-31,-0.493
2004-04-30,-1.059
2004-05-31,0.751
2004-06-30,0.294
2004-07-31,-3.808
2004-08-31,-0.087
2004-09-30,2.889
2004-10-31,4.029
2004-11-30,4.165
2004-12-31,4.602
2005-01-31,-4.311
2005-02-28,-0.492
2005-03-31,-1.125
2005-04-30,-6.443
2005-05-31,6.075
2005-06-30,-0.385
2005-07-31,5.568
2005-08-31,-3.288
2005-09-30,-2.777
2005-10-31,-1.92
2005-11-30,3.983
2005-12-31,-0.834
2006-01-31,1.808
2006-02-28,0.749
2006-03-31,0.617
2006-04-30,1.3
2006-05-31,-1.622
2006-06-30,-0.069
2006-07-31,-3.257
2006-08-31,2.033
2006-09-30,6.247
2006-10-31,6.322
2006-11-30,1.296
2006-12-31,2.171
2007-01-31,2.866
2007-02-28,-2.952
2007-03-31,-0.388
2007-04-30,2.389
2007-05-31,2.993
2007-06-30,-1.698
2007-07-31,-5.977
2007-08-31,0.915
2007-09-30,-0.696
2007-10-31,-0.391
2007-11-30,-5.282
2007-12-31,-4.963
2008-01-31,0.012
2008-02-29,-3.702
2008-03-31,-1.476
2008-04-30,2.632
2008-05-31,2.987
2008-06-30,-11.947
2008-07-31,0.618
2008-08-31,7.144
2008-09-30,-7.79
2008-10-31,-16.694
2008-11-30,-9.197
2008-12-31,7.058
2009-01-31,-10.365
2009-02-28,-9.027
2009-03-31,13.095
2009-04-30,17.596
2009-05-31,-0.283
2009-06-30,0.589
2009-07-31,9.332
2009-08-31,3.672
2009-09-30,5.328
2009-10-31,-2.16
2009-11-30,6.639
2009-12-31,4.551
2010-01-31,-2.854
2010-02-28,5.531
2010-03-31,7.573
2010-04-30,6.012
2010-05-31,-6.761
2010-06-30,-9.86
2010-07-31,7.896
2010-08-31,-3.864
2010-09-30,10.632
2010-10-31,5.457
2010-11-30,2.583
2010-12-31,4.056
2011-01-31,-0.536
2011-02-28,5.913
2011-03-31,-0.457
2011-04-30,3.807
2011-05-31,-0.215
2011-06-30,-0.061
2011-07-31,-1.293
2011-08-31,-4.358
2011-09-30,-6.769
2011-10-31,11.663
2011-11-30,-0.41
2011-12-31,1.435
2012-01-31,5.764
2012-02-29,4.466
2012-03-31,4.674
2012-04-30,1.253
2012-05-31,-5.536
2012-06-30,2.115
2012-07-31,-0.457
2012-08-31,4.556
2012-09-30,3.094
2012-10-31,-1.494
2012-11-30,3.208
2012-12-31,0.519
2013-01-31,5.561
2013-02-28,1.651
2013-03-31,4.326
2013-04-30,3.1
2013-05-31,2.79
2013-06-30,0.953
2013-07-31,5.166
2013-08-31,-2.811
2013-09-30,5.322
2013-10-31,4.585
2013-11-30,3.461
2013-12-31,2.293
2014-01-31,-6.094
2014-02-28,6.292
2014-03-31,-2.862
2014-04-30,-1.234
2014-05-31,2.894
2014-06-30,1.944
2014-07-31,-1.216
2014-08-31,4.386
2014-09-30,-2.759
2014-10-31,2.253
2014-11-30,5.336
2014-12-31,0.969
2015-01-31,-2.908
2015-02-28,8.254
2015-03-31,-0.386
2015-04-30,0.002
2015-05-31,1.346
2015-06-30,0.613
2015-07-31,4.843
2015-08-31,-6.448
2015-09-30,-0.375
2015-10-31,8.723
2015-11-30,-0.14
2015-12-31,-2.745
2016-01-31,-5.111
2016-02-29,0.639
2016-03-31,6.55
2016-04-30,0.173
2016-05-31,0.13
2016-06-30,-1.001
2016-07-31,4.497
2016-08-31,-1.276
2016-09-30,-0.186
2016-10-31,-2.418
2016-11-30,4.751
2016-12-31,0.093
2017-01-31,4.148
2017-02-28,1.818
2017-03-31,2.136
2017-04-30,2.396
2017-05-31,1.127
2017-06-30,-1.226
2017-07-31,1.937
2017-08-31,-1.827
2017-09-30,0.84
2017-10-31,2.125
2017-11-30,4.967
2017-12-31,2.451
2018-01-31,8.902
2018-02-28,-3.279
2018-03-31,-2.249
2018-04-30,2.514
2018-05-31,2.002
2018-06-30,3.62
2018-07-31,1.813
2018-08-31,5.023
2018-09-30,0.563
2018-10-31,-10.32
2018-11-30,2.674
2018-12-31,-7.838
2019-01-31,9.587
2019-02-28,1.35
2019-03-31,3.659
2019-04-30,5.355
2019-05-31,-7.785
2019-06-30,7.602
2019-07-31,1.306
2019-08-31,-0.695
2019-09-30,1.323
2019-10-31,0.183
2019-11-30,1.344
2019-12-31,2.756
2020-01-31,-0.033
2020-02-29,-7.64
2020-03-31,-12.841
2020-04-30,18.099
2020-05-31,6.583
2020-06-30,3.366
2020-07-31,7.146
2020-08-31,9.187
2020-09-30,-1.658
2020-10-31,-2.566
2020-11-30,9.655
2020-12-31,2.437
2021-01-31,0.945
2021-02-28,-0.35
2021-03-31,4.623
2021-04-30,6.346
2021-05-31,-3.323
2021-06-30,3.434
2021-07-31,1.145
2021-08-31,1.845
2021-09-30,-2.081
2021-10-31,11.517
2021-11-30,1.781
2021-12-31,0.395
2022-01-31,-9.651
2022-02-28,-3.771
2022-03-31,4.886
2022-04-30,-12.213
2022-05-31,-4.249
2022-06-30,-10.766
2022-07-31,17.355
2022-08-31,-4.301
2022-09-30,-8.103
2022-10-31,1.505
2022-11-30,2.021
2022-12-31,-11.883
2023-01-31,14.333
2023-02-28,-1.897
2023-03-31,3.253
2023-04-30,-0.99
2023-05-31,2.62
2023-06-30,11.679
2023-07-31,2.406
2023-08-31,-1.609
2023-09-30,-5.54
2023-10-31,-5.46
2023-11-30,10.563
2023-12-31,6.025
2024-01-31,-4.411
2024-02-29,7.717
2024-03-31,-0.001
2024-04-30,-4.449
2024-05-31,0.263
2024-06-30,3.858
2024-07-31,2.963
2024-08-31,0.14
2024-09-30,7.168
2024-10-31,-1.628
2024-11-30,12.31
2024-12-31,2.085
